Breakfast Delivery Model from State Agency Tracking-Original,School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,NCES ID
,14521,Springville K-8,3402002,Beaverton SD 48J,OR,Washington,Portland,97229,6655 NW Joss Avenue,,,Public-Regular School,N,,N,,,,,,1119,958,133,28,161,16583,3663,51538,20246,8182,1430,5045,9612,,169,169,,,,,,,,OR,20246,119.798816568,9612,56.875739645,OR@14521@3402002,SY16-17,,161,0.143878463,,Public,,,,,,,
,11534,Stoller Middle School,3402002,Beaverton SD 48J,OR,Washington,Portland,97229,14141 NW Laidlaw Rd,,,Public-Regular School,N,,N,,,,,,1515,1348,126,41,167,10985,3229,47073,14214,1680,124,1708,1804,,181,181,,,,,,,,OR,14214,78.530386740,1804,9.966850829,OR@11534@3402002,SY16-17,,167,0.110231023,,Public,,,,,,,410192001431
,11193,Sunset High,3402002,Beaverton SD 48J,OR,Washington,Portland,97229,13840 NW Cornell Rd,,,Public-Regular School,N,,N,,,,,,2276,1696,491,89,580,40088,6996,15473,47084,17217,2534,1092,19751,,170,170,,,,,,,,OR,47084,276.964705882,19751,116.182352941,OR@11193@3402002,SY16-17,,580,0.254833040,,Public,,,,,,,
,11227,Terra Linda Elem,3402002,Beaverton SD 48J,OR,Washington,Portland,97229,1998 NW 143rd Ave,,,Public-Regular School,N,,N,,,,,,417,267,126,24,150,15594,3748,13186,19342,5419,1055,1017,6474,,169,169,,,,,,,,OR,19342,114.449704142,6474,38.307692308,OR@11227@3402002,SY16-17,,150,0.359712230,,Public,,,,,,,
,11228,Vose Elem,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97008,11350 SW Denney Rd,,,Public-Regular School,N,,N,,,,,,619,110,456,53,509,62137,7353,7990,69490,27485,3460,2144,30945,,171,171,,,,,,,,OR,69490,406.374269006,30945,180.964912281,OR@11228@3402002,SY16-17,,509,0.822294023,,Public,,,,,,,
,11229,West Tualatin View Elem,3402002,Beaverton SD 48J,OR,Washington,Portland,97225,8800 SW Leahy Rd,,,Public-Regular School,N,,N,,,,,,372,336,29,7,36,2718,822,17765,3540,335,453,1752,788,,169,169,,,,,,,,OR,3540,20.946745562,788,4.662721893,OR@11229@3402002,SY16-17,,36,0.096774194,,Public,,,,,,,
,11194,Westview High,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97229,4200 NW 185th Ave,,,Public-Regular School,N,,N,,,,,,2630,1886,607,137,744,47192,9905,29763,57097,17575,2434,1607,20009,,170,170,,,,,,,,OR,57097,335.864705882,20009,117.7,OR@11194@3402002,SY16-17,,744,0.282889734,,Public,,,,,,,
,11201,Whitford Middle,3402002,Beaverton SD 48J,OR,Washington,Beaverton,97008,7935 SW Scholls Ferry Rd,,,Public-Regular School,N,,N,,,,,,740,322,369,49,418,37543,5596,13011,43139,10623,1291,999,11914,,170,170,,,,,,,,OR,43139,253.758823529,11914,70.082352941,OR@11201@3402002,SY16-17,,418,0.564864865,,Public,,,,,,,
,11230,William Walker Elem,3402002,Beaverton SD 48J,OR,Washington,Portland,97225,11940 SW Lynnfield Ln,,,Public-Regular School,Y,,N,,,,,,493,5,488,0,488,69041,0,686,69041,29201,0,289,29201,,169,169,,,,,,,,OR,69041,408.526627219,29201,172.786982249,OR@11230@3402002,SY16-17,,488,0.990161630,,Public,,,,,,,
,15681,Bend International School,0902004,Bend International School,OR,Deschutes,Bend,97703,63034 Mervin Samples Rd.,,,Public-Charter School,N,,N,,,,,,164,104,42,18,60,3481,1543,5376,5024,0,0,0,0,,0,154,,,,,,,,OR,5024,32.623376623,0,,OR@15681@0902004,SY16-17,,60,0.365853659,,Charter,,,,,,,
