State-Reporting,Street Address-Line 1,City,State-Physical,Zip Code,School Name,District ID,School ID,District Name,County,Street Address-Line 2,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,School Type-Original
OH,3231 Lee Ellen Pl, Columbus, Ohio, 43207,Parsons Elementary,043802,00029355,Columbus Public Schools,Franklin,,Y,,N,,,9/1/2016,9,2016,495,,360,,,6547,0,0,,5722,0,0,,,18.5,18.5,,,,,,,,,6547,353.891891892,5722,309.297297297,OH@00029355@043802,390438005313,SY16-17,,360,1,Primary,Public,,,,,,,Elementary School,Public School
OH,395 S High St, Pataskala, Ohio, 43062,Pataskala Elementary School,048041,00029363,Southwest Licking,Licking,,N,,N,,,9/1/2016,9,2016,624,,152,26,,1873,331,2193,,1471,289,3318,,,18.5,18.5,,,,,,,,,2204,119.135135135,1760,95.135135135,OH@00029363@048041,390480403096,SY16-17,,178,0.285256410,Primary,Public,,,,,,,Elementary School,Public School
OH,11901 Durant Ave, Cleveland, Ohio, 44108,Patrick Henry School,043786,00029371,Cleveland City School District,Cuyahoga,,Y,,N,,,9/1/2016,9,2016,371,,270,,,5450,0,0,,3156,0,0,,,18.5,18.5,,,,,,,,,5450,294.594594595,3156,170.594594595,OH@00029371@043786,390437800527,SY16-17,,270,1,Primary,Public,,,,,,,Elementary School,Public School
OH,2159 West 29th, Cleveland, Ohio, 44113,Paul L Dunbar Elementary School,043786,00029413,Cleveland City School District,Cuyahoga,,Y,,N,,,9/1/2016,9,2016,332,,228,,,5872,0,0,,3874,0,0,,,18.5,18.5,,,,,,,,,5872,317.405405405,3874,209.405405405,OH@00029413@043786,390437800528,SY16-17,,228,1,Primary,Public,,,,,,,Elementary School,Public School
OH,17419 Snyder Rd, Chagrin Falls, Ohio, 44023,Kenston Intermediate School,047191,00029439,Kenston Local Sd,Geauga,,N,,N,,,9/1/2016,9,2016,394,,38,9,,490,90,1655,,0,0,0,,,18.5,18.5,,,,,,,,,580,31.351351351,0,0,OH@00029439@047191,390471902799,SY16-17,,47,0.119289340,Primary,Public,,,,,,,Elementary School,Public School
OH,405 N Water St, Paulding, Ohio, 45879,Paulding High School,045575,00029454,Paulding Ex Vill Sd,Paulding,,N,,N,,,9/1/2016,9,2016,750,,242,47,,3273,724,4344,,784,81,64,,,18.5,18.5,,,,,,,,,3997,216.054054054,865,46.756756757,OH@00029454@045575,390455702284,SY16-17,,289,0.385333333,High,Public,,,,,,,High School,Public School
OH,501 W Townline St, Payne, Ohio, 45880,Payne Elementary School,049031,00029462,Wayne Trace Local,Paulding,,N,,N,,,9/1/2016,9,2016,260,,71,42,,1231,831,1468,,419,150,111,,,18.5,18.5,,,,,,,,,2062,111.459459459,569,30.756756757,OH@00029462@049031,390490303470,SY16-17,,113,0.434615385,Primary,Public,,,,,,,Elementary School,Public School
OH,4915 US Route 127, Haviland, Ohio, 45851,Wayne Trace High School,049031,00029470,Wayne Trace Local,Paulding,,N,,N,,,9/1/2016,9,2016,398,,94,34,,1666,621,3375,,518,194,53,,,18.5,18.5,,,,,,,,,2287,123.621621622,712,38.486486486,OH@00029470@049031,390490303471,SY16-17,,128,0.321608040,High,Public,,,,,,,High School,Public School
OH,700 Indian Dr, Peebles, Ohio, 45660,Peebles Elementary School,061903,00029520,Adams County/Ohio Valley,Adams,,N,,N,,,9/1/2016,9,2016,654,,330,65,,4519,832,978,,3323,576,1099,,,18.5,18.5,,,,,,,,,5351,289.243243243,3899,210.756756757,OH@00029520@061903,390619004107,SY16-17,,395,0.603975535,Primary,Public,,,,,,,Elementary School,Public School
OH,25719 State Route 41, Peebles, Ohio, 45660,Peebles High School,061903,00029538,Adams County/Ohio Valley,Adams,,N,,N,,,9/1/2016,9,2016,431,,173,53,,2557,724,1152,,1434,338,632,,,18.5,18.5,,,,,,,,,3281,177.351351351,1772,95.783783784,OH@00029538@061903,390619004108,SY16-17,,226,0.524361949,High,Public,,,,,,,High School,Public School
OH,501 Opportunity Way, Lagrange, Ohio, 44050,Keystone Elementary School,048165,00029561,Keystone Local Sd,Lorain,,N,,N,,,9/1/2016,9,2016,680,,171,51,,2330,681,2742,,1380,193,706,,,18.5,18.5,,,,,,,,,3011,162.756756757,1573,85.027027027,OH@00029561@048165,390481603134,SY16-17,,222,0.326470588,Primary,Public,,,,,,,Elementary School,Public School
OH,2002 Community Cir, Campbell, Ohio, 44405,Campbell Elementary School,043703,00029579,Campbell City Sd,Mahoning,,N,,N,,,9/1/2016,9,2016,690,,490,20,,7446,51,306,,4451,15,132,,,18.5,18.5,,,,,,,,,7497,405.243243243,4466,241.405405405,OH@00029579@043703,390437000234,SY16-17,,510,0.739130435,Primary,Public,,,,,,,Elementary School,Public School
OH,4203 Pennyroyal Rd, Franklin, Ohio, 45005,Pennyroyal Elementary School,044008,00029595,Franklin City Sd,Warren,,N,,N,,,9/1/2016,9,2016,283,,173,31,,2615,508,596,,2121,184,118,,,18.5,18.5,,,,,,,,,3123,168.810810811,2305,124.594594595,OH@00029595@044008,390440000969,SY16-17,,204,0.720848057,Primary,Public,,,,,,,Elementary School,Public School
OH,3700 South Ave, Sandusky, Ohio, 44870,Perkins Middle School,046813,00029629,Perkins Local Sd,Erie,,N,,N,,,9/1/2016,9,2016,523,,137,36,,2263,612,2659,,521,64,79,,,18.5,18.5,,,,,,,,,2875,155.405405405,585,31.621621622,OH@00029629@046813,390468102664,SY16-17,,173,0.330783939,Middle,Public,,,,,,,Middle School,Public School
OH,3714 Campbell St, Sandusky, Ohio, 44870,Perkins High School,046813,00029637,Perkins Local Sd,Erie,,N,,N,,,9/1/2016,9,2016,707,,121,42,,1629,588,3723,,115,3,8,,,18.5,18.5,,,,,,,,,2217,119.837837838,118,6.378378378,OH@00029637@046813,390468102663,SY16-17,,163,0.230551627,High,Public,,,,,,,High School,Public School
