Lunch Meals-Reduced,Lunch Meals-Free,Enrollment-Reduced,Enrollment-Free,Breakfast Meals-Reduced,Breakfast Meals-Free,Enrollment-Paid,Breakfast Meals-Free and Reduced,State-Physical,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Breakfast Meals-Paid,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School ID,School Name,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County,School Type-Original,School Level-Original,Claim Date,Enrollment-Total,Enrollment-Free and Reduced,Operating Days-Lunch Only,Lunch Meals-Free and Reduced,Lunch Meals-Paid,ISP
,,,,,,,231,MT,N,,N,,,9,2018,349,,19,,Grab And Go,,,,,,,MT,324,17.052631579,231,12.157894737,MT@1125@0861,300171000001,SY18-19,,21,0.247058824,Primary,Public,,,,GNG,,,0861,Absarokee Public Schools,1125,Absarokee School,140 S Montana Ave,,Absarokee,59001,Stillwater,Public,Elementary,9/1/2018,85,21,19,324,678,
,,,,,,3,148,MT,Y,,N,,,5,2019,37,,13,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,150,11.538461538,148,11.384615385,MT@1730@0577,300186001007,SY18-19,,14,0.797872340,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,5/1/2019,17,14,13,150,38,0.375
,,,,,,3,170,MT,Y,,N,,,4,2019,43,,16,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,179,11.1875,170,10.625,MT@1730@0577,300186001007,SY18-19,,14,0.799107143,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,4/1/2019,17,14,16,179,45,0.375
,,,,,,3,149,MT,Y,,N,,,3,2019,37,,15,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,147,9.8,149,9.933333333,MT@1730@0577,300186001007,SY18-19,,13,0.798913043,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,3/1/2019,16,13,15,147,37,0.375
,,,,,,3,117,MT,Y,,N,,,2,2019,29,,13,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,141,10.846153846,117,9,MT@1730@0577,300186001007,SY18-19,,13,0.801136364,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,2/1/2019,16,13,13,141,35,0.375
,,,,,,3,200,MT,Y,,N,,,1,2019,50,,18,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,194,10.777777778,200,11.111111111,MT@1730@0577,300186001007,SY18-19,,14,0.801652893,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,1/1/2019,17,14,18,194,48,0.375
,,,,,,4,114,MT,Y,,N,,,12,2018,28,,12,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,132,11,114,9.5,MT@1730@0577,300186001007,SY18-19,,14,0.8,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,12/1/2018,18,14,12,132,33,0.375
,,,,,,4,171,MT,Y,,N,,,11,2018,43,,16,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,171,10.6875,171,10.6875,MT@1730@0577,300186001007,SY18-19,,14,0.799065421,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,11/1/2018,18,14,16,171,43,0.375
,,,,,,4,197,MT,Y,,N,,,10,2018,49,,18,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,203,11.277777778,197,10.944444444,MT@1730@0577,300186001007,SY18-19,,14,0.799212598,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,10/1/2018,18,14,18,203,51,0.375
,,,,,,4,68,MT,Y,,N,,,9,2018,17,,15,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,69,4.6,68,4.533333333,MT@1730@0577,300186001007,SY18-19,,14,0.802325581,Middle,Public,,,,Other,,,0577,Alberton K-12 Schools,1730,Alberton 7-8,306 Railroad Ave,,Alberton,59820,Mineral,Public,Middle,9/1/2018,18,14,15,69,17,0.375
