School Name,District ID,School ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
Gateway Early College High School,4314,5480,Maricopa County Community College District dba Gateway Early College High School,,Maricopa,,85034,,,,Charter School,,,,,,,,,,,,,,14253,1990,545,,,,,,167,167,167,,,,,,,,,AZ,16243,97.263473054,,,AZ@5480@4314,040004100718,SY16-17,,,0.9,,Charter,,,,,,
Salt River High School,4320,5489,Salt River Pima-Maricopa  Community Schools,,Maricopa,,85256,,,,Charter School,N,,,,,,,,,,,,,11590,982,12045,,3954,504,4095,,167,167,167,,Cafeteria GNG,,,,,,,AZ,12572,75.281437126,4458,26.694610778,AZ@5489@4320,040004700744,SY16-17,,,0.46,,Charter,,,,Other,,
Salt River Accelerated Learning Academy,4320,90159,Salt River Pima-Maricopa  Community Schools,,Maricopa,,85256,,,,Charter School,N,,,,,,,,,,,,,318,110,1189,,456,69,1411,,167,167,167,,Cafeteria,,,,,,,AZ,428,2.562874251,525,3.143712575,AZ@90159@4320,040004703031,SY16-17,,,0.22,,Charter,,,,Cafeteria,,
NFL YET College Prep Academy,4335,5507,Espiritu Community Development Corp.,,Maricopa,,85040,,,,Charter School,N,,Y,N,,,,,,,,,,39241,4991,3768,,39375,4614,3331,,167,167,167,,Cafeteria BIC,,,,,,,AZ,44232,264.862275449,43989,263.407185629,AZ@5507@4335,040005200752,SY16-17,,,0.93,,Charter,,,,Other,,
EduPreneurship Student Center (ESC) Phoenix,4341,10752,"EduPreneurship, Inc.",,Maricopa,,85051,,,,Charter School,N,,,,,,,,,,,,,10428,125,78,,5379,72,30,,167,167,167,,Cafeteria,,,,,,,AZ,10553,63.191616766,5451,32.640718563,AZ@10752@4341,040005501731,SY16-17,,,0.92,,Charter,,,,Cafeteria,,
Victory High School - Campus,4358,78822,"Victory High School, Inc.",,Maricopa,,85041,,,,Charter School,N,,,,,,,,,,,,,3604,0,0,,3170,0,0,,167,167,167,,Cafeteria,,,,,,,AZ,3604,21.580838323,3170,18.982035928,AZ@78822@4358,040006701901,SY16-17,,,0.9,,Charter,,,,Cafeteria,,
Northern AZ Academy for Career Dev. - Taylor,4400,5652,"Career Development, Inc.",,Navajo,,85939,,,,Charter School,Y,,N,N,,,,,,,,,,3289,0,309,,1727,0,163,,167,167,167,,Cafeteria,,,,,,,AZ,3289,19.694610778,1727,10.341317365,AZ@5652@4400,040007700943,SY16-17,,,0.92,,Charter,,,,Cafeteria,,
Alternative Computerized Education (ACE) Charter High School,4422,5861,Tucson Youth Development/ACE Charter High School,,Pima,,85705,,,,Charter School,N,,,,,,,,,,,,,14295,0,0,,7320,0,0,,167,167,167,,GNG,,,,,,,AZ,14295,85.598802395,7320,43.832335329,AZ@5861@4422,040007901008,SY16-17,,,0.96,,Charter,,,,GNG,,
Youth Works Charter High School,4422,90286,Tucson Youth Development/ACE Charter High School,,Pima,,85713,,,,Charter School,N,,,,,,,,,,,,,7914,0,0,,3680,0,0,,167,167,167,,GNG,,,,,,,AZ,7914,47.389221557,3680,22.035928144,AZ@90286@4422,040007903035,SY16-17,,,0.95,,Charter,,,,GNG,,
Presidio School,4425,5865,Presidio School,,Pima,,85719,,,,Charter School,N,,,,,,,,,,,,,24577,5937,6987,,7460,1453,960,,167,167,167,,Cafeteria,,,,,,,AZ,30514,182.718562874,8913,53.371257485,AZ@5865@4425,040008101010,SY16-17,,,0.67,,Charter,,,,Cafeteria,,
