School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,ISP,NCES ID,State-Physical,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,District ID,District Name,School ID,School Name,Claim Date,Enrollment-Free,Enrollment-Reduced,Enrollment-Total,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County
SY18-19,,301,0.776880050,Other,,,,,,,,,,,Other,,Y,,N,,,10,2018,,,,717,0,206,,,13,13,,,,,,,,,KY,2500,192.307692308,717,55.153846154,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,10/1/2018,301,0,387,2500,0,718,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,311,0.776876690,Other,,,,,,,,,,,Other,,Y,,N,,,9,2018,,,,1102,0,316,,,19,19,,,,,,,,,KY,3736,196.631578947,1102,58,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,9/1/2018,311,0,400,3736,0,1073,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,319,0.776785714,Other,,,,,,,,,,,Other,,Y,,N,,,8,2018,,,,1049,0,301,,,21,21,,,,,,,,,KY,3654,174,1049,49.952380952,KY@1001@10055,10055,Eminence Board of Education,1001,Eminence High School/Eminence Middle School,8/1/2018,319,0,411,3654,0,1050,254 W BROADWAY ST,,EMINENCE,40019-1110,HENRY COUNTY
SY18-19,,358,0.903651355,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,5,2019,,,,2846,0,303,,,18,18,,,,,,,,,KY,3836,213.111111111,2846,158.111111111,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,5/1/2019,358,0,396,3836,0,409,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,362,0.903804738,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,4,2019,,,,2877,0,307,,,17,17,,,,,,,,,KY,3777,222.176470588,2877,169.235294118,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,4/1/2019,362,0,401,3777,0,402,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,359,0.903639806,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,3,2019,,,,3067,0,327,,,20,20,,,,,,,,,KY,4295,214.75,3067,153.35,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,3/1/2019,359,0,397,4295,0,458,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,361,0.903804110,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,2,2019,,,,2779,0,296,,,19,19,,,,,,,,,KY,4134,217.578947368,2779,146.263157895,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,2/1/2019,361,0,400,4134,0,440,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,359,0.903748734,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,1,2019,,,,2249,0,240,,,17,17,,,,,,,,,KY,3568,209.882352941,2249,132.294117647,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,1/1/2019,359,0,397,3568,0,380,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,343,0.903598547,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,12,2018,,,,1942,0,207,,,13,13,,,,,,,,,KY,2737,210.538461538,1942,149.384615385,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,12/1/2018,343,0,380,2737,0,292,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,343,0.903682720,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,11,2018,,,,2515,0,268,,,17,17,,,,,,,,,KY,3509,206.411764706,2515,147.941176471,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,11/1/2018,343,0,379,3509,0,374,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
