Unique ID,District Name,School Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,School ID
DE@SD68@GD327,Capital,South Dover Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,587,,558,0,,,,,9508,,,,8124,,21,21,,BIC,,,,,,,DE,9508,452.761904762,8124,386.857142857,,SY16-17,,558,,,,,,,BIC,,,GD327,SD68
DE@SD69@GD327,Capital,Towne Point Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,329,,320,0,,,,,5705,,,,4114,,21,21,,,,,,,,,DE,5705,271.666666667,4114,195.904761905,,SY16-17,,320,,,,,,,,,,GD327,SD69
DE@SD70@GD327,Capital,Wm. Henry Middle School,,,,,,,,,Y,,,,,10/1/2016,10,2016,933,,787,0,,,,,14574,,,,10305,,21,21,,GNG,,,,,,,DE,14574,694,10305,490.714285714,,SY16-17,,787,,,,,,,GNG,,,GD327,SD70
DE@SD66@GD327,Capital,KCCS,,,,,,,,,Y,,,,,10/1/2016,10,2016,79,,67,0,,,,,809,,,,812,,21,21,,BIC,,,,,,,DE,809,38.523809524,812,38.666666667,,SY16-17,,67,,,,,,,BIC,,,GD327,SD66
DE@SD65@GD327,Capital,ILC,,,,,,,,,Y,,,,,10/1/2016,10,2016,96,,96,0,,,,,1043,,,,949,,21,21,,BIC,,,,,,,DE,1043,49.666666667,949,45.190476190,,SY16-17,,96,,,,,,,BIC,,,GD327,SD65
DE@SD116@GD330,Community Education Building,Great Oaks Charter,,,,,,,,,,,,,,10/1/2016,10,2016,343,,306,0,,,,,4379,,,,3091,,17,17,,,,,,,,,DE,4379,257.588235294,3091,181.823529412,,SY16-17,,306,,,,,,,,,,GD330,SD116
DE@SD117@GD330,Community Education Building,Kuumba Academy,,,,,,,,,,,,,,10/1/2016,10,2016,745,,665,0,,,,,11015,,,,8822,,19,20,,,,,,,,,DE,11015,550.75,8822,464.315789474,,SY16-17,,665,,,,,,,,,,GD330,SD117
DE@SD71@GD328,Christina,Bancroft Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,396,,381,0,,,,,4876,,,,6733,,17,17,,BIC,,,,,,,DE,4876,286.823529412,6733,396.058823529,,SY16-17,,381,,,,,,,BIC,,,GD328,SD71
DE@SD72@GD328,Christina,Bayard Middle,,,,,,,,,Y,,,,,10/1/2016,10,2016,369,,355,0,,,,,4554,,,,2202,,17,17,,GNG,,,,,,,DE,4554,267.882352941,2202,129.529411765,,SY16-17,,355,,,,,,,GNG,,,GD328,SD72
DE@SD73@GD328,Christina,Brader,,,,,,,,,,,,,,10/1/2016,10,2016,556,,260,33,,,,,3950,,,,2146,,17,17,,GNG,,,,,,,DE,3950,232.352941176,2146,126.235294118,,SY16-17,,293,,,,,,,GNG,,,GD328,SD73
DE@SD74@GD328,Christina,Brennen,,,,,,,,,,,,,,10/1/2016,10,2016,134,,48,9,,,,,796,,,,940,,17,17,,GNG,,,,,,,DE,796,46.823529412,940,55.294117647,,SY16-17,,57,,,,,,,GNG,,,GD328,SD74
DE@SD75@GD328,Christina,Brookside,,,,,,,,,Y,,,,,10/1/2016,10,2016,359,,345,0,,,,,3806,,,,2434,,17,17,,GNG,,,,,,,DE,3806,223.882352941,2434,143.176470588,,SY16-17,,345,,,,,,,GNG,,,GD328,SD75
DE@SD77@GD328,Christina,Christina Early Ed Center,,,,,,,,,Y,,,,,10/1/2016,10,2016,399,,384,0,,,,,1672,,,,1832,,17,18,,BIC,,,,,,,DE,1672,92.888888889,1832,107.764705882,,SY16-17,,384,,,,,,,BIC,,,GD328,SD77
DE@SD76@GD328,Christina,Christiana High,,,,,,,,,,,,,Y,10/1/2016,10,2016,908,,452,39,,,,,6292,,,,3313,,18,18,,GNG,,,,,,,DE,6292,349.555555556,3313,184.055555556,,SY16-17,,491,,,,,,,GNG,,,GD328,SD76
DE@SD78@GD328,Christina,Douglass Alternative,,,,,,,,,Y,,,,,10/1/2016,10,2016,145,,139,0,,,,,467,,,,353,,18,17,,GNG,,,,,,,DE,467,27.470588235,353,19.611111111,,SY16-17,,139,,,,,,,GNG,,,GD328,SD78
DE@SD79@GD328,Christina,Downes Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,484,,167,10,,,,,2607,,,,1198,,17,17,,GNG,,,,,,,DE,2607,153.352941176,1198,70.470588235,,SY16-17,,177,,,,,,,GNG,,,GD328,SD79
DE@SD80@GD328,Christina,DSD - DE School for Deaf,,,,,,,,,,,,,,10/1/2016,10,2016,110,,52,6,,,,,715,,,,695,,17,17,,GNG,,,,,,,DE,715,42.058823529,695,40.882352941,,SY16-17,,58,,,,,,,GNG,,,GD328,SD80
DE@SD81@GD328,Christina,Gallaher,,,,,,,,,Y,,,,,10/1/2016,10,2016,558,,537,0,,,,,4727,,,,3283,,17,17,,BIC,,,,,,,DE,4727,278.058823529,3283,193.117647059,,SY16-17,,537,,,,,,,BIC,,,GD328,SD81
DE@SD82@GD328,Christina,Gauger Cobbs Middle,,,,,,,,,,,,,Y,10/1/2016,10,2016,1080,,553,63,,,,,10518,,,,4677,,17,17,,GNG,,,,,,,DE,10518,618.705882353,4677,275.117647059,,SY16-17,,616,,,,,,,GNG,,,GD328,SD82
DE@SD83@GD328,Christina,Glasgow High,,,,,,,,,,,,,Y,10/1/2016,10,2016,858,,441,43,,,,,6396,,,,3869,,17,17,,GNG,,,,,,,DE,6396,376.235294118,3869,227.588235294,,SY16-17,,484,,,,,,,GNG,,,GD328,SD83
DE@SD84@GD328,Christina,Jones Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,429,,413,0,,,,,4144,,,,5682,,17,17,,BIC,,,,,,,DE,4144,243.764705882,5682,334.235294118,,SY16-17,,413,,,,,,,BIC,,,GD328,SD84
DE@SD85@GD328,Christina,Keene Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,646,,276,32,,,,,4586,,,,2854,,18,17,,GNG,,,,,,,DE,4586,269.764705882,2854,158.555555556,,SY16-17,,308,,,,,,,GNG,,,GD328,SD85
DE@SD86@GD328,Christina,Kirk Middle,,,,,,,,,,,,,,10/1/2016,10,2016,744,,352,29,,,,,6867,,,,2208,,17,17,,GNG,,,,,,,DE,6867,403.941176471,2208,129.882352941,,SY16-17,,381,,,,,,,GNG,,,GD328,SD86
