BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,District ID,District Name,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Meals-Paid,Lunch Meals-Paid,Enrollment-Paid,Enrollment-Total,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),CEP (Y/N),School Type-Original,School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,State-Physical,School Name,School ID,School Year,Operating Days-Breakfast Only,Operating Days-Lunch Only,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Lunch Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Reduced,Enrollment-Free and Reduced,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced
,,,,,,,,,766,,,0302-000,COTTER,AR@000@0302-000,257.741573034,45878,364.404494382,64864,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,766,0,45878,64864,0,0,,,,
,,,,,,,,,339,,,2403-000,COUNTY LINE,AR@000@2403-000,196.418079096,34766,243.271186441,43059,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,275,64,29954,37043,4812,6016,,,,
,,,,,,,,,472,,,1901-000,CROSS COUNTY,AR@000@1901-000,255.411428571,44697,334.988571429,58623,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,382,90,36140,46731,8557,11892,,,,
,,,,,,,,,1222,,,0201-000,CROSSETT,AR@000@0201-000,513.802259887,90943,818.723163842,144914,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,1079,143,82993,130686,7950,14228,,,,
,,,,,,,,,477,,,2601-000,CUTTER STAR,AR@000@2601-000,250.085227273,44015,308.482954545,54293,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,176,393,84,37941,46808,6074,7485,,,,
,,,,,,,,,710,,,7503-000,DANVILLE,AR@000@7503-000,359.451977401,63623,459.118644068,81264,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,611,99,57324,71853,6299,9411,,,,
,,,,,,,,,1533,,,7504-000,DARDANELLE,AR@000@7504-000,796.971751412,141064,1058.344632768,187327,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,1244,289,120020,158136,21044,29191,,,,
,,,,,,,,,2110,,,6701-000,DEQUEEN,AR@000@6701-000,900.426966292,160276,1538.134831461,273788,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,1871,239,146343,248422,13933,25366,,,,
,,,,,,,,,662,,,0402-000,DECATUR,AR@000@0402-000,308.438202247,54902,397.831460674,70814,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,662,0,54902,70814,0,0,,,,
,,,,,,,,,321,,,5106-000,DEER/MT JUDEA,AR@000@5106-000,172.236842105,32725,200.573684211,38109,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,190,190,279,42,29864,35411,2861,2698,,,,
,,,,,,,,,353,,,0901-000,DERMOTT,AR@000@0901-000,189.164772727,33293,276,48576,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,176,340,13,33293,48576,0,0,,,,
,,,,,,,,,448,,,5901-000,DES ARC,AR@000@5901-000,181.826815642,32547,289.145251397,51757,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,179,179,355,93,27083,42073,5464,9684,,,,
,,,,,,,,,975,,,0101-000,DEWITT,AR@000@0101-000,317.965909091,55962,634.482954545,111669,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,176,837,138,50872,96922,5090,14747,,,,
,,,,,,,,,444,,,3102-000,DIERKS,AR@000@3102-000,215.011299435,38057,324.576271186,57450,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,373,71,32485,49102,5572,8348,,,,
,,,,,,,,,1185,,,3502-000,DOLLARWAY,AR@000@3502-000,549.587570621,97277,794.163841808,140567,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,1185,0,97277,140567,0,0,,,,
,,,,,,,,,938,,,5802-000,DOVER,AR@000@5802-000,521.275280899,92787,673.174157303,119825,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,687,251,70022,88932,22765,30893,,,,
,,,,,,,,,972,,,2202-000,DREW CENTRAL,AR@000@2202-000,605.56,105973,598.702857143,104773,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,972,0,105973,104773,0,0,,,,
,,,,,,,,,1082,,,2104-000,DUMAS SPECIAL,AR@000@2104-000,332.111731844,59448,568.625698324,101784,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,179,179,991,91,57048,96250,2400,5534,,,,
,,,,,,,,,571,,,1802-000,EARLE,AR@000@1802-000,398.840909091,70196,470.034090909,82726,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,176,571,0,70196,82726,0,0,,,,
,,,,,,,,,433,,,5301-000,EAST END,AR@000@5301-000,290.804597701,50600,276.729885057,48151,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,174,174,335,98,40226,38397,10374,9754,,,,
,,,,,,,,,641,,,5608-000,EAST POINSETT COUNTY,AR@000@5608-000,293.932584270,52320,389,69242,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,530,111,45556,58881,6764,10361,,,,
,,,,,,,,,2972,,,7001-000,EL DORADO,AR@000@7001-000,1625.647727273,286114,2144.429378531,379564,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,176,177,2654,318,260630,343440,25484,36124,,,,
,,,,,,,,,756,,,7201-000,ELKINS,AR@000@7201-000,311.820224719,55504,441.089887640,78514,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,553,203,44999,61246,10505,17268,,,,
,,,,,,,,,592,,,1408-000,EMERSON-TAYLOR,AR@000@1408-000,190.112359551,33840,361.106741573,64277,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,496,96,31383,55912,2457,8365,,,,
,,,,,,,,,756,,,4302-000,ENGLAND,AR@000@4302-000,218.259887006,38632,386.376404494,68775,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,178,756,0,38632,68775,0,0,,,,
,,,,,,,,,888,,,6047-000,ESTEM HIGH PUB CHART,AR@000@6047-000,88.75,16685,227.447916667,43670,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,188,192,669,219,13605,34697,3080,8973,,,,
