Unique ID,School ID,District ID,School Name,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
ME@153@1445,153,1445,Dresden Elementary School,RSU 02,ME,Lincoln,Dresden,04342,86 Cedar Grove Road Dresden,,PR-5,Public,,,,,,10/1/2017,10,2017,81,,23,12,,369,106,277,,376,104,131,,,18,18,,,,,,,,,ME,475,26.388888889,480,26.666666667,231477600131,SY17-18,,35,,Primary,Public,,,,,,
ME@645@1445,645,1445,Hall-Dale Elementary School,RSU 02,ME,Kennebec,Hallowell,04347,26 Garden Lane Hallowell,,PR-5,Public,,,,,,10/1/2017,10,2017,387,,126,23,,1416,253,1113,,830,131,272,,,18,18,,,,,,,,,ME,1669,92.722222222,961,53.388888889,231477600352,SY17-18,,149,,Primary,Public,,,,,,
ME@1968@1445,1968,1445,Hall-Dale Middle and High School,RSU 02,ME,Kennebec,Farmingdale,04344,111 Maple ST Farmingdale,,6-12,Public,,,,,,10/1/2017,10,2017,482,,152,25,,1678,230,1849,,1172,124,381,,,18,18,,,,,,,,,ME,1908,106,1296,72,,SY17-18,,177,,Middle/High,Public,,,,,,
ME@307@1445,307,1445,Henry L Cottrell School,RSU 02,ME,Kennebec,Monmouth,04259,169 Academy Road Monmouth,,PR-3,Public,,,,,,10/1/2017,10,2017,206,,63,12,,785,142,783,,616,93,466,,,18,18,,,,,,,,,ME,927,51.5,709,39.388888889,231477600230,SY17-18,,75,,Primary,Public,,,,,,
ME@402@1445,402,1445,Marcia Buker School,RSU 02,ME,Sagadahoc,Richmond,04357,28 High Street Richmond,,PR-5,Public,,,,,,10/1/2017,10,2017,213,,81,15,,1071,154,619,,950,151,239,,,18,18,,,,,,,,,ME,1225,68.055555556,1101,61.166666667,231477600296,SY17-18,,96,,Primary,Public,,,,,,
ME@308@1445,308,1445,Monmouth Academy,RSU 02,ME,Kennebec,Monmouth,04259,96 Academy Road Monmouth,,9-12,Public,,,,,,10/1/2017,10,2017,227,,52,13,,605,118,538,,474,70,185,,,18,18,,,,,,,,,ME,723,40.166666667,544,30.222222222,231477600231,SY17-18,,65,,High,Public,,,,,,
ME@309@1445,309,1445,Monmouth Middle School,RSU 02,ME,Kennebec,Monmouth,04259,117 Academy Road Monmouth,,4-8,Public,,,,,,10/1/2017,10,2017,241,,74,9,,1103,97,825,,822,52,316,,,18,18,,,,,,,,,ME,1200,66.666666667,874,48.555555556,231477601018,SY17-18,,83,,Primary/Middle,Public,,,,,,
ME@403@1445,403,1445,Richmond High School,RSU 02,ME,Sagadahoc,Richmond,04357,132 Main Street Richmond,,9-12,Public,,,,,,10/1/2017,10,2017,139,,38,8,,409,114,580,,418,88,507,,,18,18,,,,,,,,,ME,523,29.055555556,506,28.111111111,231477600298,SY17-18,,46,,High,Public,,,,,,
ME@404@1445,404,1445,Richmond Middle School,RSU 02,ME,Sagadahoc,Richmond,04357,132 Main Street Richmond,,6-8,Public,,,,,,10/1/2017,10,2017,106,,38,10,,425,153,353,,451,104,348,,,18,18,,,,,,,,,ME,578,32.111111111,555,30.833333333,231477601008,SY17-18,,48,,Middle,Public,,,,,,
ME@564@561,564,561,Monroe Elementary School,RSU 03/MSAD 03,ME,Waldo,Monroe,04951,36 West Main Street Monroe,,PR-5,Public,Y,,,,,10/1/2017,10,2017,66,,51,0,,770,0,227,,788,0,233,,,18,18,,,,,,,,,ME,770,42.777777778,788,43.777777778,231152000471,SY17-18,,51,0.772316951,Primary,Public,,,,,,
