State-Physical,School Name,School ID,District Name,District ID,County,Claim Date,Unique ID,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Operating Days-Breakfast Only,Street Address-Line 1,City,Zip Code,ISP
,Amanda C Rowe School,369,Portland Public Schools,364,Cumberland,12/1/2018,ME@369@364,,PK-5,Public,,,,,,12,2018,429,,153,25,,,,,,,,,,,,,ME,1715,114.333333333,1700,113.333333333,,SY18-19,,178,,Primary,Public,,,,,,,1418,297,739,15,1393,307,2198,15,23 Orono RD,Portland,4102,0.264501160
,Riverton School,381,Portland Public Schools,364,Cumberland,11/1/2018,ME@381@364,,PK-5,Public,Y,,,,,11,2018,432,,432,0,,,,,,,,,,,,,ME,6090,338.333333333,5302,294.555555556,230993000286,SY18-19,,432,1,Primary,Public,,,,,,,6090,0,0,18,5302,0,0,18,1600 Forest AV,Portland,4103,0.515222482
,Presumpscot School,372,Portland Public Schools,364,Cumberland,11/1/2018,ME@372@364,,PK-5,Public,Y,,,,,11,2018,249,,249,0,,,,,,,,,,,,,ME,3068,170.444444444,3796,210.888888889,230993001007,SY18-19,,249,1,Primary,Public,,,,,,,3068,0,0,18,3796,0,0,18,69 Presumpscot ST,Portland,4103,0.480158730
,Portland High School,378,Portland Public Schools,364,Cumberland,11/1/2018,ME@378@364,,9-12,Public,,,,,,11,2018,773,,274,39,,,,,,,,,,,,,ME,3100,172.222222222,3039,168.833333333,230993000284,SY18-19,,313,,High,Public,,,,,,,2793,307,603,18,2677,362,1815,18,284 Cumberland AV,Portland,4101,0.219543147
,Peaks Island School,371,Portland Public Schools,364,Cumberland,11/1/2018,ME@371@364,,PK-5,Public,,,,,,11,2018,40,,10,3,,,,,,,,,,,,,ME,162,9.529411765,79,4.647058824,230993000283,SY18-19,,13,,Primary,Public,,,,,,,137,25,103,17,70,9,10,17,4 Church AV Peaks,Island,4108,0.025641026
,Ocean Avenue,386,Portland Public Schools,364,Cumberland,11/1/2018,ME@386@364,,KG-5,Public,,,,,,11,2018,350,,134,10,,,,,,,,,,,,,ME,2118,117.666666667,819,45.5,230993023131,SY18-19,,144,,Primary,Public,,,,,,,1975,143,889,18,780,39,96,18,150 Ocean AV,Portland,4103,0.212765957
,Lyman Moore Middle School,377,Portland Public Schools,364,Cumberland,11/1/2018,ME@377@364,,6-8,Public,,,,,,11,2018,458,,195,35,,,,,,,,,,,,,ME,3029,168.277777778,3820,212.222222222,230993000278,SY18-19,,230,,Middle,Public,,,,,,,2629,400,1175,18,3260,560,2844,18,171 Auburn ST,Portland,4103,0.331868132
,Longfellow SchoolPortland,370,Portland Public Schools,364,Cumberland,11/1/2018,ME@370@364,,KG-5,Public,,,,,,11,2018,328,,48,9,,,,,,,,,,,,,ME,565,31.388888889,227,12.611111111,,SY18-19,,57,,Primary,Public,,,,,,,472,93,1021,18,173,54,90,18,432 Stevens AV,Portland,4103,0.095092025
,Lincoln Middle School,376,Portland Public Schools,364,Cumberland,11/1/2018,ME@376@364,,6-8,Public,,,,,,11,2018,531,,203,27,,,,,,,,,,,,,ME,2606,144.777777778,1835,101.944444444,230993000275,SY18-19,,230,,Middle,Public,,,,,,,2328,278,1220,18,1615,220,2197,18,522 Stevens AV,Portland,4103,0.287054409
,King Middle School,375,Portland Public Schools,364,Cumberland,11/1/2018,ME@375@364,,6-8,Public,,,,,,11,2018,495,,250,16,,,,,,,,,,,,,ME,3717,206.5,1680,93.333333333,230993000274,SY18-19,,266,,Middle,Public,,,,,,,3513,204,1494,18,1597,83,400,18,92 Deering AV,Portland,4102,0.298597194
,Howard C Reiche Community Sch,380,Portland Public Schools,364,Cumberland,11/1/2018,ME@380@364,,PK-5,Public,Y,,,,,11,2018,448,,448,0,,,,,,,,,,,,,ME,5265,292.5,4280,237.777777778,230993000273,SY18-19,,448,1,Primary,Public,,,,,,,5265,0,0,18,4280,0,0,18,166 Brackett ST,Portland,4102,0.390350877
,Harrison Lyseth Elem School,373,Portland Public Schools,364,Cumberland,11/1/2018,ME@373@364,,PK-5,Public,,,,,,11,2018,515,,155,22,,,,,,,,,,,,,ME,2170,120.555555556,1054,58.555555556,230993000272,SY18-19,,177,,Primary,Public,,,,,,,1892,278,1689,18,964,90,345,18,175 Auburn ST,Portland,4103,0.241779497
,East End Community School,385,Portland Public Schools,364,Cumberland,11/1/2018,ME@385@364,,PK-5,Public,Y,,,,,11,2018,401,,401,0,,,,,,,,,,,,,ME,5883,326.833333333,6507,361.5,230993000279,SY18-19,,401,1,Primary,Public,,,,,,,5883,0,0,18,6507,0,0,18,195 North ST,Portland,4101,0.477832512
,Deering High School,379,Portland Public Schools,364,Cumberland,11/1/2018,ME@379@364,,9-12,Public,,,,,,11,2018,942,,436,43,,,,,,,,,,,,,ME,4696,260.888888889,4084,226.888888889,230993000269,SY18-19,,479,,High,Public,,,,,,,4357,339,1102,18,3814,270,1458,18,370 Stevens Avenue,Portland,4103,0.340587595
,Cliff Island School,367,Portland Public Schools,364,Cumberland,11/1/2018,ME@367@364,,KG-5,Public,,,,,,11,2018,2,,0,0,,,,,,,,,,,,,ME,0,0,0,,230993000267,SY18-19,,0,,Primary,Public,,,,,,,0,0,36,18,0,0,0,0,PO Box 8 Cliff,Island,4019,0
,Casco Bay High School,384,Portland Public Schools,364,Cumberland,11/1/2018,ME@384@364,,9-12,Public,,,,,,11,2018,391,,142,18,,,,,,,,,,,,,ME,1447,80.388888889,583,32.388888889,230993000603,SY18-19,,160,,High,Public,,,,,,,1317,130,628,18,517,66,59,18,196 Allen Avenue,Portland,4103,0.240310078
,Amanda C Rowe School,369,Portland Public Schools,364,Cumberland,11/1/2018,ME@369@364,,PK-5,Public,,,,,,11,2018,429,,153,25,,,,,,,,,,,,,ME,1838,102.111111111,1988,110.444444444,,SY18-19,,178,,Primary,Public,,,,,,,1545,293,949,18,1655,333,2496,18,23 Orono RD,Portland,4102,0.264501160
,Riverton School,381,Portland Public Schools,364,Cumberland,10/1/2018,ME@381@364,,PK-5,Public,Y,,,,,10,2018,432,,432,0,,,,,,,,,,,,,ME,7732,351.454545455,7015,318.863636364,230993000286,SY18-19,,432,1,Primary,Public,,,,,,,7732,0,0,22,7015,0,0,22,1600 Forest AV,Portland,4103,0.515222482
,Presumpscot School,372,Portland Public Schools,364,Cumberland,10/1/2018,ME@372@364,,PK-5,Public,Y,,,,,10,2018,249,,249,0,,,,,,,,,,,,,ME,3813,173.318181818,4761,216.409090909,230993001007,SY18-19,,249,1,Primary,Public,,,,,,,3813,0,0,22,4761,0,0,22,69 Presumpscot ST,Portland,4103,0.480158730
,Portland High School,378,Portland Public Schools,364,Cumberland,10/1/2018,ME@378@364,,9-12,Public,,,,,,10,2018,773,,274,39,,,,,,,,,,,,,ME,3852,175.090909091,3693,167.863636364,230993000284,SY18-19,,313,,High,Public,,,,,,,3525,327,933,22,3349,344,2543,22,284 Cumberland AV,Portland,4101,0.219543147
,Peaks Island School,371,Portland Public Schools,364,Cumberland,10/1/2018,ME@371@364,,PK-5,Public,,,,,,10,2018,40,,10,3,,,,,,,,,,,,,ME,209,9.5,69,3.136363636,230993000283,SY18-19,,13,,Primary,Public,,,,,,,177,32,159,22,63,6,23,22,4 Church AV Peaks,Island,4108,0.025641026
,Ocean Avenue,386,Portland Public Schools,364,Cumberland,10/1/2018,ME@386@364,,KG-5,Public,,,,,,10,2018,350,,134,10,,,,,,,,,,,,,ME,2557,116.227272727,1005,45.681818182,230993023131,SY18-19,,144,,Primary,Public,,,,,,,2402,155,1153,22,970,35,130,22,150 Ocean AV,Portland,4103,0.212765957
,Lyman Moore Middle School,377,Portland Public Schools,364,Cumberland,10/1/2018,ME@377@364,,6-8,Public,,,,,,10,2018,458,,195,35,,,,,,,,,,,,,ME,3588,163.090909091,4602,209.181818182,230993000278,SY18-19,,230,,Middle,Public,,,,,,,3225,363,1489,22,4103,499,3639,22,171 Auburn ST,Portland,4103,0.331868132
,Longfellow SchoolPortland,370,Portland Public Schools,364,Cumberland,10/1/2018,ME@370@364,,KG-5,Public,,,,,,10,2018,328,,48,9,,,,,,,,,,,,,ME,692,31.454545455,238,10.818181818,,SY18-19,,57,,Primary,Public,,,,,,,600,92,1366,22,190,48,178,22,432 Stevens AV,Portland,4103,0.095092025
,Lincoln Middle School,376,Portland Public Schools,364,Cumberland,10/1/2018,ME@376@364,,6-8,Public,,,,,,10,2018,531,,203,27,,,,,,,,,,,,,ME,3224,146.545454545,2241,101.863636364,230993000275,SY18-19,,230,,Middle,Public,,,,,,,2879,345,1501,22,1952,289,2617,22,522 Stevens AV,Portland,4103,0.287054409
,King Middle School,375,Portland Public Schools,364,Cumberland,10/1/2018,ME@375@364,,6-8,Public,,,,,,10,2018,495,,250,16,,,,,,,,,,,,,ME,4429,201.318181818,1555,70.681818182,230993000274,SY18-19,,266,,Middle,Public,,,,,,,4212,217,1718,22,1478,77,411,22,92 Deering AV,Portland,4102,0.298597194
