State-Physical,School Name,School ID,District Name,District ID,County,Claim Date,Unique ID,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Operating Days-Breakfast Only,Street Address-Line 1,City,Zip Code,ISP
,Blue Hill Consolidated School,73,Blue Hill Public Schools,72,Hancock,1/1/2019,ME@73@72,,PK-8,Public,,,,,,1,2019,275,,87,12,,,,,,,,,,,,,ME,1489,74.45,631,33.210526316,230321000079,SY18-19,,99,,Primary/Middle,Public,,,,,,,1282,207,1822,20,587,44,333,19,60 High Street Blue,Hill,4614,0.190661479
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,12/1/2018,ME@844@839,,PK-3,Public,,,,,,12,2018,616,,36,2,,,,,,,,,,,,,ME,328,21.866666667,95,6.333333333,231424000681,SY18-19,,38,,Primary,Public,,,,,,,306,22,3289,15,94,1,121,15,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,12/1/2018,ME@845@839,,4-5,Public,,,,,,12,2018,318,,22,1,,,,,,,,,,,,,ME,213,14.2,52,3.466666667,,SY18-19,,23,,Primary,Public,,,,,,,213,0,1931,15,52,0,289,15,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,12/1/2018,ME@846@839,,6-8,Public,,,,,,12,2018,478,,36,7,,,,,,,,,,,,,ME,346,23.066666667,139,9.266666667,231424000577,SY18-19,,43,,Middle,Public,,,,,,,323,23,1133,15,128,11,78,15,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,12/1/2018,ME@354@353,,PK-8,Public,,,,,,12,2018,108,,51,11,,,,,,,,,,,,,ME,514,36.714285714,450,34.615384615,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,406,108,327,14,353,97,246,13,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,11/1/2018,ME@844@839,,PK-3,Public,,,,,,11,2018,616,,36,2,,,,,,,,,,,,,ME,361,22.5625,125,7.8125,231424000681,SY18-19,,38,,Primary,Public,,,,,,,330,31,3271,16,116,9,115,16,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,11/1/2018,ME@845@839,,4-5,Public,,,,,,11,2018,318,,22,1,,,,,,,,,,,,,ME,222,13.875,47,2.9375,,SY18-19,,23,,Primary,Public,,,,,,,222,0,2021,16,47,0,285,16,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,11/1/2018,ME@846@839,,6-8,Public,,,,,,11,2018,478,,36,7,,,,,,,,,,,,,ME,383,23.9375,155,9.6875,231424000577,SY18-19,,43,,Middle,Public,,,,,,,343,40,1223,16,130,25,92,16,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,11/1/2018,ME@354@353,,PK-8,Public,,,,,,11,2018,108,,51,11,,,,,,,,,,,,,ME,635,35.277777778,543,30.166666667,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,483,152,508,18,407,136,393,18,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,10/1/2018,ME@844@839,,PK-3,Public,,,,,,10,2018,616,,36,2,,,,,,,,,,,,,ME,455,21.666666667,158,7.523809524,231424000681,SY18-19,,38,,Primary,Public,,,,,,,441,14,4073,21,148,10,138,21,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,10/1/2018,ME@845@839,,4-5,Public,,,,,,10,2018,318,,22,1,,,,,,,,,,,,,ME,307,14.619047619,61,2.904761905,,SY18-19,,23,,Primary,Public,,,,,,,300,7,2618,21,61,0,386,21,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,10/1/2018,ME@846@839,,6-8,Public,,,,,,10,2018,478,,36,7,,,,,,,,,,,,,ME,501,23.857142857,170,8.095238095,231424000577,SY18-19,,43,,Middle,Public,,,,,,,429,72,1573,21,130,40,92,21,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,10/1/2018,ME@354@353,,PK-8,Public,,,,,,10,2018,108,,51,11,,,,,,,,,,,,,ME,832,39.619047619,757,36.047619048,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,648,184,561,21,584,173,463,21,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,9/1/2018,ME@844@839,,PK-3,Public,,,,,,9,2018,616,,36,2,,,,,,,,,,,,,ME,412,19.619047619,88,4.190476190,231424000681,SY18-19,,38,,Primary,Public,,,,,,,397,15,3611,21,78,10,137,21,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,9/1/2018,ME@845@839,,4-5,Public,,,,,,9,2018,318,,22,1,,,,,,,,,,,,,ME,321,15.285714286,40,1.904761905,,SY18-19,,23,,Primary,Public,,,,,,,302,19,2482,21,40,0,201,21,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,9/1/2018,ME@846@839,,6-8,Public,,,,,,9,2018,478,,36,7,,,,,,,,,,,,,ME,557,26.523809524,142,6.761904762,231424000577,SY18-19,,43,,Middle,Public,,,,,,,483,74,1447,21,126,16,39,21,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,9/1/2018,ME@354@353,,PK-8,Public,,,,,,9,2018,108,,51,11,,,,,,,,,,,,,ME,790,41.578947368,771,40.578947368,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,642,148,453,19,619,152,419,19,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,6/1/2019,ME@844@839,,PK-3,Public,,,,,,6,2019,616,,36,2,,,,,,,,,,,,,ME,269,22.416666667,60,5,231424000681,SY18-19,,38,,Primary,Public,,,,,,,252,17,3068,12,60,0,114,12,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,6/1/2019,ME@845@839,,4-5,Public,,,,,,6,2019,318,,22,1,,,,,,,,,,,,,ME,172,14.333333333,39,3.25,,SY18-19,,23,,Primary,Public,,,,,,,162,10,1392,12,39,0,229,12,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,6/1/2019,ME@846@839,,6-8,Public,,,,,,6,2019,478,,36,7,,,,,,,,,,,,,ME,191,15.916666667,63,5.25,231424000577,SY18-19,,43,,Middle,Public,,,,,,,167,24,854,12,60,3,87,12,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,6/1/2019,ME@354@353,,PK-8,Public,,,,,,6,2019,108,,51,11,,,,,,,,,,,,,ME,387,38.7,296,29.6,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,317,70,259,10,250,46,126,10,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,5/1/2019,ME@844@839,,PK-3,Public,,,,,,5,2019,616,,36,2,,,,,,,,,,,,,ME,470,21.363636364,138,6.272727273,231424000681,SY18-19,,38,,Primary,Public,,,,,,,436,34,4775,22,138,0,200,22,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,5/1/2019,ME@845@839,,4-5,Public,,,,,,5,2019,318,,22,1,,,,,,,,,,,,,ME,343,15.590909091,68,3.090909091,,SY18-19,,23,,Primary,Public,,,,,,,322,21,2642,22,68,0,426,22,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,5/1/2019,ME@846@839,,6-8,Public,,,,,,5,2019,478,,36,7,,,,,,,,,,,,,ME,398,18.090909091,132,6,231424000577,SY18-19,,43,,Middle,Public,,,,,,,348,50,1728,22,119,13,164,22,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,5/1/2019,ME@354@353,,PK-8,Public,,,,,,5,2019,108,,51,11,,,,,,,,,,,,,ME,815,37.045454545,676,30.727272727,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,675,140,541,22,583,93,314,22,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,4/1/2019,ME@844@839,,PK-3,Public,,,,,,4,2019,616,,36,2,,,,,,,,,,,,,ME,333,20.8125,128,8,231424000681,SY18-19,,38,,Primary,Public,,,,,,,312,21,3504,16,128,0,148,16,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,4/1/2019,ME@845@839,,4-5,Public,,,,,,4,2019,318,,22,1,,,,,,,,,,,,,ME,247,15.4375,53,3.3125,,SY18-19,,23,,Primary,Public,,,,,,,233,14,1922,16,53,0,296,16,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,4/1/2019,ME@846@839,,6-8,Public,,,,,,4,2019,478,,36,7,,,,,,,,,,,,,ME,324,20.25,97,6.0625,231424000577,SY18-19,,43,,Middle,Public,,,,,,,283,41,1273,16,90,7,135,16,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,4/1/2019,ME@354@353,,PK-8,Public,,,,,,4,2019,108,,51,11,,,,,,,,,,,,,ME,611,38.1875,459,28.6875,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,503,108,441,16,393,66,223,16,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,3/1/2019,ME@844@839,,PK-3,Public,,,,,,3,2019,616,,36,2,,,,,,,,,,,,,ME,394,20.736842105,149,7.842105263,231424000681,SY18-19,,38,,Primary,Public,,,,,,,367,27,4200,19,149,0,171,19,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,3/1/2019,ME@845@839,,4-5,Public,,,,,,3,2019,318,,22,1,,,,,,,,,,,,,ME,273,14.368421053,52,2.736842105,,SY18-19,,23,,Primary,Public,,,,,,,265,8,2236,19,52,0,276,19,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,3/1/2019,ME@846@839,,6-8,Public,,,,,,3,2019,478,,36,7,,,,,,,,,,,,,ME,404,21.263157895,115,6.052631579,231424000577,SY18-19,,43,,Middle,Public,,,,,,,353,51,1508,19,109,6,134,19,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,3/1/2019,ME@354@353,,PK-8,Public,,,,,,3,2019,108,,51,11,,,,,,,,,,,,,ME,726,36.3,569,28.45,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,597,129,487,20,478,91,280,20,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,2/1/2019,ME@844@839,,PK-3,Public,,,,,,2,2019,616,,36,2,,,,,,,,,,,,,ME,273,19.5,85,6.071428571,231424000681,SY18-19,,38,,Primary,Public,,,,,,,254,19,3040,14,85,0,139,14,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,2/1/2019,ME@845@839,,4-5,Public,,,,,,2,2019,318,,22,1,,,,,,,,,,,,,ME,191,13.642857143,44,3.142857143,,SY18-19,,23,,Primary,Public,,,,,,,191,0,1650,14,44,0,188,14,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,2/1/2019,ME@846@839,,6-8,Public,,,,,,2,2019,478,,36,7,,,,,,,,,,,,,ME,310,22.142857143,90,6.428571429,231424000577,SY18-19,,43,,Middle,Public,,,,,,,280,30,1202,14,83,7,95,14,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,2/1/2019,ME@354@353,,PK-8,Public,,,,,,2,2019,108,,51,11,,,,,,,,,,,,,ME,542,38.714285714,381,29.307692308,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,448,94,340,14,326,55,193,13,1587 U. S. Route 1,Perry,4667,0.323529412
,Mabel I Wilson School,844,RSU 51/MSAD 51,839,Cumberland,1/1/2019,ME@844@839,,PK-3,Public,,,,,,1,2019,616,,36,2,,,,,,,,,,,,,ME,411,20.55,107,5.35,231424000681,SY18-19,,38,,Primary,Public,,,,,,,381,30,4116,20,107,0,155,20,353 Tuttle Road,Cumberland,4021,0.032362460
,Greely Middle School 45,845,RSU 51/MSAD 51,839,Cumberland,1/1/2019,ME@845@839,,4-5,Public,,,,,,1,2019,318,,22,1,,,,,,,,,,,,,ME,268,13.4,70,3.5,,SY18-19,,23,,Primary,Public,,,,,,,268,0,2749,20,70,0,256,20,351 Tuttle Road,Cumberland,4021,0.041139241
,Greely Middle School,846,RSU 51/MSAD 51,839,Cumberland,1/1/2019,ME@846@839,,6-8,Public,,,,,,1,2019,478,,36,7,,,,,,,,,,,,,ME,436,21.8,134,6.7,231424000577,SY18-19,,43,,Middle,Public,,,,,,,411,25,1709,20,126,8,104,20,351 Tuttle Road,Cumberland,4021,0.027083333
,Perry Elementary School,354,Perry Public Schools,353,Washington,1/1/2019,ME@354@353,,PK-8,Public,,,,,,1,2019,108,,51,11,,,,,,,,,,,,,ME,848,40.380952381,517,28.722222222,230965001006,SY18-19,,62,,Primary/Middle,Public,,,,,,,727,121,533,21,447,70,292,18,1587 U. S. Route 1,Perry,4667,0.323529412
,Turner Primary School,853,RSU 52/MSAD 52,847,Androscoggin,12/1/2018,ME@853@847,,PK-2,Public,,,,,,12,2018,279,,69,25,,,,,,,,,,,,,ME,1008,67.2,692,49.428571429,231416000027,SY18-19,,94,,Primary,Public,,,,,,,730,278,1050,15,534,158,810,14,59 Cobb Road,Turner,4282,0.187725632
,Turner Elementary School,852,RSU 52/MSAD 52,847,Androscoggin,12/1/2018,ME@852@847,,3-6,Public,,,,,,12,2018,276,,73,24,,,,,,,,,,,,,ME,1237,82.466666667,984,65.6,231416000660,SY18-19,,97,,Primary,Public,,,,,,,939,298,1208,15,744,240,621,15,91 Matthews Way,Turner,4282,0.188612100
,Tripp Middle School,850,RSU 52/MSAD 52,847,Androscoggin,12/1/2018,ME@850@847,,7-8,Public,,,,,,12,2018,292,,78,22,,,,,,,,,,,,,ME,1098,73.2,744,57.230769231,231416000656,SY18-19,,100,,Middle,Public,,,,,,,888,210,1084,15,611,133,509,13,65 Matthews Way,Turner,4282,0.221088435
,Leeds Central School,849,RSU 52/MSAD 52,847,Androscoggin,12/1/2018,ME@849@847,,PK-6,Public,,,,,,12,2018,201,,78,25,,,,,,,,,,,,,ME,1133,75.533333333,794,56.714285714,231416000659,SY18-19,,103,,Primary,Public,,,,,,,830,303,725,15,587,207,445,14,1185 Route 106,Leeds,4263,0.305
,Leavitt Area High School,851,RSU 52/MSAD 52,847,Androscoggin,12/1/2018,ME@851@847,,9-12,Public,,,,,,12,2018,579,,122,59,,,,,,,,,,,,,ME,1773,118.2,1097,78.357142857,231416000658,SY18-19,,181,,High,Public,,,,,,,1246,527,2255,15,793,304,697,14,21 Matthews Way,Turner,4282,0.127433628
,Greene Central School,848,RSU 52/MSAD 52,847,Androscoggin,12/1/2018,ME@848@847,,PK-6,Public,,,,,,12,2018,383,,105,51,,,,,,,,,,,,,ME,1866,124.4,1217,86.928571429,231416000657,SY18-19,,156,,Primary,Public,,,,,,,1250,616,1327,15,840,377,814,14,41 Main Street,Greene,4236,0.225388601
,Turner Primary School,853,RSU 52/MSAD 52,847,Androscoggin,11/1/2018,ME@853@847,,PK-2,Public,,,,,,11,2018,279,,69,25,,,,,,,,,,,,,ME,1051,70.066666667,768,51.2,231416000027,SY18-19,,94,,Primary,Public,,,,,,,751,300,1110,15,579,189,937,15,59 Cobb Road,Turner,4282,0.187725632
,Turner Elementary School,852,RSU 52/MSAD 52,847,Androscoggin,11/1/2018,ME@852@847,,3-6,Public,,,,,,11,2018,276,,73,24,,,,,,,,,,,,,ME,1243,82.866666667,1021,68.066666667,231416000660,SY18-19,,97,,Primary,Public,,,,,,,923,320,1280,15,772,249,621,15,91 Matthews Way,Turner,4282,0.188612100
,Tripp Middle School,850,RSU 52/MSAD 52,847,Androscoggin,11/1/2018,ME@850@847,,7-8,Public,,,,,,11,2018,292,,78,22,,,,,,,,,,,,,ME,1103,73.533333333,806,53.733333333,231416000656,SY18-19,,100,,Middle,Public,,,,,,,871,232,1199,15,646,160,526,15,65 Matthews Way,Turner,4282,0.221088435
,Leeds Central School,849,RSU 52/MSAD 52,847,Androscoggin,11/1/2018,ME@849@847,,PK-6,Public,,,,,,11,2018,201,,78,25,,,,,,,,,,,,,ME,1231,82.066666667,924,61.6,231416000659,SY18-19,,103,,Primary,Public,,,,,,,893,338,741,15,689,235,529,15,1185 Route 106,Leeds,4263,0.305
,Leavitt Area High School,851,RSU 52/MSAD 52,847,Androscoggin,11/1/2018,ME@851@847,,9-12,Public,,,,,,11,2018,579,,122,59,,,,,,,,,,,,,ME,1783,118.866666667,1142,76.133333333,231416000658,SY18-19,,181,,High,Public,,,,,,,1256,527,2317,15,838,304,725,15,21 Matthews Way,Turner,4282,0.127433628
,Greene Central School,848,RSU 52/MSAD 52,847,Androscoggin,11/1/2018,ME@848@847,,PK-6,Public,,,,,,11,2018,383,,105,51,,,,,,,,,,,,,ME,1838,122.533333333,1408,93.866666667,231416000657,SY18-19,,156,,Primary,Public,,,,,,,1248,590,1450,15,968,440,983,15,41 Main Street,Greene,4236,0.225388601
,Turner Primary School,853,RSU 52/MSAD 52,847,Androscoggin,10/1/2018,ME@853@847,,PK-2,Public,,,,,,10,2018,279,,69,25,,,,,,,,,,,,,ME,1434,68.285714286,1091,51.952380952,231416000027,SY18-19,,94,,Primary,Public,,,,,,,1038,396,1453,21,855,236,1497,21,59 Cobb Road,Turner,4282,0.187725632
,Turner Elementary School,852,RSU 52/MSAD 52,847,Androscoggin,10/1/2018,ME@852@847,,3-6,Public,,,,,,10,2018,276,,73,24,,,,,,,,,,,,,ME,1696,80.761904762,1527,72.714285714,231416000660,SY18-19,,97,,Primary,Public,,,,,,,1290,406,1618,21,1180,347,1227,21,91 Matthews Way,Turner,4282,0.188612100
,Tripp Middle School,850,RSU 52/MSAD 52,847,Androscoggin,10/1/2018,ME@850@847,,7-8,Public,,,,,,10,2018,292,,78,22,,,,,,,,,,,,,ME,1691,80.523809524,1248,59.428571429,231416000656,SY18-19,,100,,Middle,Public,,,,,,,1286,405,1712,21,982,266,965,21,65 Matthews Way,Turner,4282,0.221088435
,Leeds Central School,849,RSU 52/MSAD 52,847,Androscoggin,10/1/2018,ME@849@847,,PK-6,Public,,,,,,10,2018,201,,78,25,,,,,,,,,,,,,ME,1690,80.476190476,1297,61.761904762,231416000659,SY18-19,,103,,Primary,Public,,,,,,,1222,468,987,21,978,319,793,21,1185 Route 106,Leeds,4263,0.305
,Leavitt Area High School,851,RSU 52/MSAD 52,847,Androscoggin,10/1/2018,ME@851@847,,9-12,Public,,,,,,10,2018,579,,122,59,,,,,,,,,,,,,ME,2671,127.190476190,1599,76.142857143,231416000658,SY18-19,,181,,High,Public,,,,,,,1823,848,3199,21,1127,472,1363,21,21 Matthews Way,Turner,4282,0.127433628
,Greene Central School,848,RSU 52/MSAD 52,847,Androscoggin,10/1/2018,ME@848@847,,PK-6,Public,,,,,,10,2018,383,,105,51,,,,,,,,,,,,,ME,2506,119.333333333,1968,93.714285714,231416000657,SY18-19,,156,,Primary,Public,,,,,,,1667,839,1848,21,1315,653,1740,21,41 Main Street,Greene,4236,0.225388601
,Turner Primary School,853,RSU 52/MSAD 52,847,Androscoggin,9/1/2018,ME@853@847,,PK-2,Public,,,,,,9,2018,279,,69,25,,,,,,,,,,,,,ME,1420,64.545454545,1091,49.590909091,231416000027,SY18-19,,94,,Primary,Public,,,,,,,1118,302,1378,22,874,217,1317,22,59 Cobb Road,Turner,4282,0.187725632
,Turner Elementary School,852,RSU 52/MSAD 52,847,Androscoggin,9/1/2018,ME@852@847,,3-6,Public,,,,,,9,2018,276,,73,24,,,,,,,,,,,,,ME,1635,74.318181818,1334,60.636363636,231416000660,SY18-19,,97,,Primary,Public,,,,,,,1294,341,1565,22,1067,267,779,22,91 Matthews Way,Turner,4282,0.188612100
,Tripp Middle School,850,RSU 52/MSAD 52,847,Androscoggin,9/1/2018,ME@850@847,,7-8,Public,,,,,,9,2018,292,,78,22,,,,,,,,,,,,,ME,1778,80.818181818,1084,49.272727273,231416000656,SY18-19,,100,,Middle,Public,,,,,,,1366,412,1755,22,823,261,539,22,65 Matthews Way,Turner,4282,0.221088435
,Leeds Central School,849,RSU 52/MSAD 52,847,Androscoggin,9/1/2018,ME@849@847,,PK-6,Public,,,,,,9,2018,201,,78,25,,,,,,,,,,,,,ME,1707,77.590909091,1304,59.272727273,231416000659,SY18-19,,103,,Primary,Public,,,,,,,1344,363,1064,22,1015,289,731,22,1185 Route 106,Leeds,4263,0.305
,Leavitt Area High School,851,RSU 52/MSAD 52,847,Androscoggin,9/1/2018,ME@851@847,,9-12,Public,,,,,,9,2018,579,,122,59,,,,,,,,,,,,,ME,2737,124.409090909,1385,62.954545455,231416000658,SY18-19,,181,,High,Public,,,,,,,1903,834,3350,22,1039,346,654,22,21 Matthews Way,Turner,4282,0.127433628
,Greene Central School,848,RSU 52/MSAD 52,847,Androscoggin,9/1/2018,ME@848@847,,PK-6,Public,,,,,,9,2018,383,,105,51,,,,,,,,,,,,,ME,2384,108.363636364,1831,83.227272727,231416000657,SY18-19,,156,,Primary,Public,,,,,,,1681,703,1725,22,1288,543,1262,22,41 Main Street,Greene,4236,0.225388601
,Turner Primary School,853,RSU 52/MSAD 52,847,Androscoggin,6/1/2019,ME@853@847,,PK-2,Public,,,,,,6,2019,279,,69,25,,,,,,,,,,,,,ME,882,67.846153846,642,49.384615385,231416000027,SY18-19,,94,,Primary,Public,,,,,,,671,211,792,13,511,131,663,13,59 Cobb Road,Turner,4282,0.187725632
,Turner Elementary School,852,RSU 52/MSAD 52,847,Androscoggin,6/1/2019,ME@852@847,,3-6,Public,,,,,,6,2019,276,,73,24,,,,,,,,,,,,,ME,1133,87.153846154,875,67.307692308,231416000660,SY18-19,,97,,Primary,Public,,,,,,,856,277,1121,13,680,195,612,13,91 Matthews Way,Turner,4282,0.188612100
,Tripp Middle School,850,RSU 52/MSAD 52,847,Androscoggin,6/1/2019,ME@850@847,,7-8,Public,,,,,,6,2019,292,,78,22,,,,,,,,,,,,,ME,864,66.461538462,794,66.166666667,231416000656,SY18-19,,100,,Middle,Public,,,,,,,715,149,751,13,679,115,469,12,65 Matthews Way,Turner,4282,0.221088435
,Leeds Central School,849,RSU 52/MSAD 52,847,Androscoggin,6/1/2019,ME@849@847,,PK-6,Public,,,,,,6,2019,201,,78,25,,,,,,,,,,,,,ME,1020,78.461538462,685,52.692307692,231416000659,SY18-19,,103,,Primary,Public,,,,,,,788,232,671,13,530,155,375,13,1185 Route 106,Leeds,4263,0.305
,Leavitt Area High School,851,RSU 52/MSAD 52,847,Androscoggin,6/1/2019,ME@851@847,,9-12,Public,,,,,,6,2019,579,,122,59,,,,,,,,,,,,,ME,1081,90.083333333,707,58.916666667,231416000658,SY18-19,,181,,High,Public,,,,,,,755,326,1259,12,516,191,326,12,21 Matthews Way,Turner,4282,0.127433628
,Greene Central School,848,RSU 52/MSAD 52,847,Androscoggin,6/1/2019,ME@848@847,,PK-6,Public,,,,,,6,2019,383,,105,51,,,,,,,,,,,,,ME,1493,114.846153846,1019,78.384615385,231416000657,SY18-19,,156,,Primary,Public,,,,,,,1080,413,1188,13,751,268,843,13,41 Main Street,Greene,4236,0.225388601
,Turner Primary School,853,RSU 52/MSAD 52,847,Androscoggin,5/1/2019,ME@853@847,,PK-2,Public,,,,,,5,2019,279,,69,25,,,,,,,,,,,,,ME,1545,70.227272727,1101,50.045454545,231416000027,SY18-19,,94,,Primary,Public,,,,,,,1169,376,1453,22,868,233,1243,22,59 Cobb Road,Turner,4282,0.187725632
,Turner Elementary School,852,RSU 52/MSAD 52,847,Androscoggin,5/1/2019,ME@852@847,,3-6,Public,,,,,,5,2019,276,,73,24,,,,,,,,,,,,,ME,1940,88.181818182,1579,71.772727273,231416000660,SY18-19,,97,,Primary,Public,,,,,,,1446,494,1929,22,1180,399,1098,22,91 Matthews Way,Turner,4282,0.188612100
,Tripp Middle School,850,RSU 52/MSAD 52,847,Androscoggin,5/1/2019,ME@850@847,,7-8,Public,,,,,,5,2019,292,,78,22,,,,,,,,,,,,,ME,1657,75.318181818,1418,64.454545455,231416000656,SY18-19,,100,,Middle,Public,,,,,,,1368,289,1597,22,1218,200,1000,22,65 Matthews Way,Turner,4282,0.221088435
,Leeds Central School,849,RSU 52/MSAD 52,847,Androscoggin,5/1/2019,ME@849@847,,PK-6,Public,,,,,,5,2019,201,,78,25,,,,,,,,,,,,,ME,1832,83.272727273,1243,56.5,231416000659,SY18-19,,103,,Primary,Public,,,,,,,1410,422,1200,22,984,259,634,22,1185 Route 106,Leeds,4263,0.305
,Leavitt Area High School,851,RSU 52/MSAD 52,847,Androscoggin,5/1/2019,ME@851@847,,9-12,Public,,,,,,5,2019,579,,122,59,,,,,,,,,,,,,ME,2712,123.272727273,1686,76.636363636,231416000658,SY18-19,,181,,High,Public,,,,,,,1933,779,3157,22,1252,434,938,22,21 Matthews Way,Turner,4282,0.127433628
,Greene Central School,848,RSU 52/MSAD 52,847,Androscoggin,5/1/2019,ME@848@847,,PK-6,Public,,,,,,5,2019,383,,105,51,,,,,,,,,,,,,ME,2536,115.272727273,1759,79.954545455,231416000657,SY18-19,,156,,Primary,Public,,,,,,,1861,675,2059,22,1343,416,1426,22,41 Main Street,Greene,4236,0.225388601
