ISP,State-Physical,Street Address-Line 1,Street Address-Line 2,School Level-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School Name,School Type-Original,School ID,County,City,Zip Code,CEP (Y/N),Claim Date,Operating Days,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,728,36.4,347,17.35,KS@5536@D0401,200465000913,SY18-19,,58,0.716049383,,Public,,,,Cafeteria,,,D0401,Chase-Raymond,Chase High School,Public School,5536,Rice,Chase,67524-0366,N,4/1/2019,20,Traditional,81,47,11,604,124,240,306,41,54
,,,,,,,,,2,2019,,,,,15,15,,,,,,,,KS,238,15.866666667,30,2,KS@294@D0207,200633000049,SY18-19,,21,0.071672355,,Public,,,,Cafeteria,,,D0207,Ft. Leavenworth Schools,Patton Jr. High School,Public School,294,Leavenworth,Fort Leavenworth,66027-1251,N,2/1/2019,15,Traditional,293,6,15,62,176,1929,12,18,107
,,,,,,,,,10,2018,,,,,21,21,,,,,,,,KS,5525,263.095238095,3066,146,KS@1625@D0259,201299001904,SY18-19,,317,0.859078591,,Public,,,,Cafeteria,,,D0259,Wichita,Gordon Parks Academy,Public School,1625,Sedgwick,Wichita,67219-4701,N,10/1/2018,21,Traditional,369,299,18,5205,320,596,2924,142,256
,,,,,,,,,8,2018,,,,,13,13,,,,,,,,KS,1551,119.307692308,643,49.461538462,KS@1740@D0259,201299000300,SY18-19,,152,0.584615385,,Public,,,,Cafeteria,,,D0259,Wichita,McLean Science & Technology Magnet Elementary School,Public School,1740,Sedgwick,Wichita,67204-5599,N,8/1/2018,13,Traditional,260,121,31,1267,284,684,534,109,255
,,,,,,,,,1,2019,,,,,20,20,,,,,,,,KS,3901,195.05,1614,80.7,KS@1823@D0259,201299001694,SY18-19,,347,0.465147453,,Public,,,,Cafeteria,,,D0259,Wichita,Northeast High School,Public School,1823,Sedgwick,Bel Aire,67226,N,1/1/2019,20,Traditional,746,290,57,3341,560,2760,1400,214,614
,,,,,,,,,1,2019,,,,,14,14,,,,,,,,KS,977,69.785714286,310,22.142857143,KS@8202@D0497,200840001665,SY18-19,,88,0.188841202,,Public,,,,Cafeteria,,,D0497,Lawrence,Quail Run Elementary,Public School,8202,Douglas,Lawrence,66049-3809,N,1/1/2019,14,Traditional,466,69,19,765,212,2347,253,57,278
,,,,,,,,,11,2018,,,,,19,19,,,,,,,,KS,7692,404.842105263,6479,341,KS@5871@D0413,200459001926,SY18-19,,482,0.635883905,,Public,,,,Cafeteria,,,D0413,Chanute,Chanute Elementary School,Public School,5871,Neosho,Chanute,66720,N,11/1/2018,19,Traditional,758,389,93,6264,1428,2794,5308,1171,1172
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,1425,95,651,43.4,KS@2012@D0264,200492000376,SY18-19,,119,0.288135593,,Public,,,,Second Chance,,,D0264,Clearwater,Clearwater Middle School,Public School,2012,Sedgwick,Clearwater,67026,N,3/1/2019,15,"Traditional Second Chance,",413,72,47,863,562,2433,491,160,281
,,,,,,,,,10,2018,,,,,22,22,,,,,,,,KS,1289,58.590909091,590,26.818181818,KS@1262@D0248,200648000193,SY18-19,,117,0.379870130,,Public,,,,Cafeteria,,,D0248,Girard,Girard High School,Public School,1262,Crawford,Girard,66743-1128,N,10/1/2018,22,Traditional,308,94,23,1005,284,1235,494,96,68
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,261,21.75,79,6.583333333,KS@3665@D0329,200324000622,SY18-19,,25,0.367647059,,Public,,,,Cafeteria,,,D0329,Wabaunsee USD 329,Wabaunsee Jr High School,Public School,3665,Wabaunsee,Paxico,66526-0128,N,8/1/2018,12,Traditional,68,12,13,141,120,476,39,40,79
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,2584,172.266666667,1230,82,KS@1965@D0261,200705001725,SY18-19,,227,0.529137529,,Public,,,,Cafeteria,,,D0261,Haysville,Ruth Clark Elementary School,Public School,1965,Sedgwick,Wichita,67217,N,3/1/2019,15,Traditional,429,189,38,2136,448,1540,1128,102,548
,,,,,,,,,10,2018,,,,,20,20,,,,,,,,KS,1231,61.55,345,17.25,KS@5038@D0380,200456000833,SY18-19,,76,0.266666667,,Public,,,,Cafeteria,,,D0380,Vermillion,Frankfort High School,Public School,5038,Marshall,Frankfort,66427-1114,N,10/1/2018,20,Traditional,285,49,27,812,419,2991,266,79,306
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,6060,404,2900,193.333333333,KS@8888@D0512,201164001575,SY18-19,,653,0.446648427,,Public,,,,Second Chance,,,D0512,Shawnee Mission,Shawnee Mission North High School,Public School,8888,Johnson,Shawnee Mission,66202-2394,N,3/1/2019,15,"Traditional Second Chance,",1462,501,152,4695,1365,4480,2439,461,1011
,,,,,,,,,2,2019,,,,,13,13,,,,,,,,KS,80,6.153846154,6,0.461538462,KS@7787@D0229,201200001291,SY18-19,,18,0.028616852,,Public,,,,Cafeteria,,,D0229,Blue Valley,Pleasant Ridge Middle School,Public School,7787,Johnson,Overland Park,66085-9073,N,2/1/2019,13,Traditional,629,9,9,40,40,2041,2,4,2
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,2253,125.166666667,386,21.444444444,KS@5994@D0417,200528000988,SY18-19,,158,0.473053892,,Public,,,,Other,,,D0417,Morris County,Council Grove High,Public School,5994,Morris,Council Grove,66846,N,9/1/2018,18,"Traditional Kiosk,",334,103,55,1536,717,1962,346,40,104
,,,,,,,,,8,2018,,,,,16,16,,,,,,,,KS,1352,84.5,509,31.8125,KS@8857@D0512,201164000932,SY18-19,,111,0.284615385,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,Sunflower Elementary School,Public School,8857,Johnson,Shawnee Mission,66219-1427,N,8/1/2018,16,Traditional,390,73,38,1009,343,1927,440,69,85
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,1576,87.555555556,693,38.5,KS@8140@D0495,200837001354,SY18-19,,104,0.507317073,,Public,,,,Cafeteria,,,D0495,Ft. Larned,Larned Middle School,Public School,8140,Pawnee,Larned,67550,N,9/1/2018,18,Traditional,205,74,30,1097,479,1077,468,225,160
,,,,,,,,,3,2019,,,,,31,31,,,,,,,,KS,675,21.774193548,670,21.612903226,KS@9452@X0910,,SY18-19,,48,1,,Other,,,,Cafeteria,,,X0910,Wyandotte Co. Juvenile Detention Center,Wyandotte County Juvenile Detention Center,State Residential Child Care Institution,9452,Wyandotte,Kansas City,66101,N,3/1/2019,31,Traditional,48,48,0,675,0,0,670,0,0
,,,,,,,,,1,2019,,,,,14,14,,,,,,,,KS,328,23.428571429,313,22.357142857,KS@911@D0234,,SY18-19,,63,0.863013699,,Public,,,,Cafeteria,,,D0234,Fort Scott,Fort Scott Preschool Center,Public School,911,Bourbon,Fort Scott,66701,N,1/1/2019,14,Traditional,73,52,11,278,50,37,222,91,39
,,,,,,,,,11,2018,,,,,19,19,,,,,,,,KS,4185,220.263157895,3801,200.052631579,KS@898@D0234,200618000146,SY18-19,,274,0.615730337,,Public,,,,Second Chance,,,D0234,Fort Scott,Eugene Ware Elementary School,Public School,898,Bourbon,Fort Scott,66701-2199,N,11/1/2018,19,"Traditional Second Chance,",445,218,56,3370,815,1241,3096,705,1101
,,,,,,,,,12,2018,,,,,13,13,,,,,,,,KS,1999,153.769230769,419,32.230769231,KS@7616@D0475,200789001265,SY18-19,,215,0.379188713,,Public,,,,Cafeteria,,,D0475,Geary County Schools,Fort Riley Middle School,Public School,7616,Geary,Fort Riley,66442,N,12/1/2018,13,Traditional,567,110,105,1068,931,1722,258,161,127
,,,,,,,,,12,2018,,,,,12,12,,,,,,,,KS,744,62,277,23.083333333,KS@2563@D0287,201080001894,SY18-19,,80,0.496894410,,Public,,,,Cafeteria,,,D0287,West Franklin,West Franklin Middle School,Public School,2563,Franklin,Pomona,66076,N,12/1/2018,12,Traditional,161,66,14,637,107,558,217,60,52
,,,,,,,,,4,2019,,,,,22,22,,,,,,,,KS,3406,154.818181818,1089,49.5,KS@8216@D0497,200840001377,SY18-19,,211,0.328149300,,Public,,,,Cafeteria,,,D0497,Lawrence,West Middle School,Public School,8216,Douglas,Lawrence,66049-2629,N,4/1/2019,22,Traditional,643,149,62,2369,1037,3308,850,239,132
,,,,,,,,,5,2019,,,,,12,12,,,,,,,,KS,363,30.25,304,25.333333333,KS@9896@X0627,,SY18-19,,34,0.350515464,,Nonpublic,,,,,,,X0627,St Rose Philippine Duchesne School,"St, Rose Philippine Duchesne School",Private School,9896,Anderson,Garnett,66032,N,5/1/2019,12,NULL,97,20,14,217,146,555,201,103,87
,,,,,,,,,2,2019,,,,,16,16,,,,,,,,KS,7332,458.25,3402,212.625,KS@3134@D0308,200762000544,SY18-19,,840,0.589887640,,Public,,,,Other,,,D0308,Hutchinson,Hutchinson High School,Public School,3134,Reno,Hutchinson,67501,N,2/1/2019,16,"Traditional Kiosk,",1424,689,151,6071,1261,2759,3044,358,209
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,1264,70.222222222,257,14.277777778,KS@514@D0218,200579000079,SY18-19,,113,0.428030303,,Public,,,,Cafeteria,,,D0218,Elkhart,Elkhart Middle School,Public School,514,Morton,Elkhart,67950,N,11/1/2018,18,Traditional,264,95,18,1097,167,758,249,8,82
,,,,,,,,,1,2019,,,,,17,17,,,,,,,,KS,2130,125.294117647,1306,76.823529412,KS@2544@D0286,201152000445,SY18-19,,161,0.696969697,,Public,,,,Cafeteria,,,D0286,Chautauqua County Community,Sedan Elementary School,Public School,2544,Chautauqua,Sedan,67361-1197,N,1/1/2019,17,Traditional,231,124,37,1621,509,684,1065,241,277
,,,,,,,,,1,2019,,,,,20,20,,,,,,,,KS,2124,106.2,1068,53.4,KS@4318@D0355,200582000731,SY18-19,,134,0.496296296,,Public,,,,Cafeteria,,,D0355,Ellinwood Public Schools,Ellinwood Elementary School,Public School,4318,Barton,Ellinwood,67526,N,1/1/2019,20,Traditional,270,97,37,1457,667,1825,850,218,213
,,,,,,,,,12,2018,,,,,15,15,,,,,,,,KS,3958,263.866666667,2495,166.333333333,KS@6825@D0446,200765002054,SY18-19,,316,0.686956522,,Public,,,,Cafeteria,,,D0446,Independence,Jefferson School,Public School,6825,Montgomery,Independence,67301,N,12/1/2018,15,Traditional,460,261,55,3393,565,1081,2196,299,284
,,,,,,,,,5,2019,,,,,13,13,,,,,,,,KS,1261,97,768,59.076923077,KS@132@D0200,200669000013,SY18-19,,141,0.528089888,,Public,,,,Cafeteria,,,D0200,Greeley County,Greeley County Elementary School,Public School,132,Greeley,Tribune,67879-0580,N,5/1/2019,13,Traditional,267,110,31,978,283,987,633,135,232
,,,,,,,,,12,2018,,,,,13,13,,,,,,,,KS,201,15.461538462,40,3.076923077,KS@823@D0229,201200002045,SY18-19,,20,0.026595745,,Public,,,,Cafeteria,,,D0229,Blue Valley,Aubry Bend Middle School,Public School,823,Johnson,Overland Park,66221,N,12/1/2018,13,Traditional,752,12,8,122,79,3740,36,4,53
,,,,,,,,,2,2019,,,,,15,15,,,,,,,,KS,340,22.666666667,285,19,KS@8227@D0497,,SY18-19,,62,0.939393939,,Public,,,,Cafeteria,,,D0497,Lawrence,Douglas County Youth Detention Center,Public School,8227,Douglas,Lawrence,66044,N,2/1/2019,15,Traditional,66,58,4,307,33,31,254,31,26
,,,,,,,,,12,2018,,,,,14,14,,,,,,,,KS,460,32.857142857,138,9.857142857,KS@1504@D0255,200813001966,SY18-19,,43,0.472527473,,Public,,,,Cafeteria,,,D0255,South Barber,South Barber High School,Public School,1504,Barber,Kiowa,67070,N,12/1/2018,14,Traditional,91,27,16,301,159,325,94,44,61
,,,,,,,,,2,2019,,,,,16,16,,,,,,,,KS,713,44.5625,343,21.4375,KS@4850@D0375,201230000802,SY18-19,,56,0.243478261,,Public,,,,Cafeteria,,,D0375,Circle,Benton Grade School,Public School,4850,Butler,Benton,67017,N,2/1/2019,16,Traditional,230,43,13,556,157,1560,271,72,158
,,,,,,,,,1,2019,,,,,15,15,,,,,,,,KS,5924,394.933333333,2813,187.533333333,KS@8536@D0501,201226001476,SY18-19,,685,0.823578479,,Public,,,,Cafeteria,,,D0501,Topeka Public Schools,Highland Park High School,Public School,8536,Shawnee,Topeka,66605-1797,Y,1/1/2019,15,Traditional,832,685,0,5924,0,1269,2813,0,603
,,,,,,,,,2,2019,,,,,14,14,,,,,,,,KS,473,33.785714286,206,14.714285714,KS@3600@D0327,200587000612,SY18-19,,39,0.364485981,,Public,,,,Cafeteria,,,D0327,Ellsworth,Kanopolis Middle,Public School,3600,Ellsworth,Kanopolis,67454,N,2/1/2019,14,Traditional,107,23,16,294,179,513,174,32,79
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,5897,393.133333333,1631,108.733333333,KS@1617@D0259,201299001908,SY18-19,,497,0.910256410,,Public,,,,Cafeteria,,,D0259,Wichita,Marshall Middle School,Public School,1617,Sedgwick,Wichita,67203-2899,N,3/1/2019,15,Traditional,546,453,44,5387,510,394,1501,130,58
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,267,17.8,34,2.266666667,KS@294@D0207,200633000049,SY18-19,,22,0.074576271,,Public,,,,Cafeteria,,,D0207,Ft. Leavenworth Schools,Patton Jr. High School,Public School,294,Leavenworth,Fort Leavenworth,66027-1251,N,3/1/2019,15,Traditional,295,6,16,68,199,1971,15,19,126
,,,,,,,,,10,2018,,,,,21,21,,,,,,,,KS,6343,302.047619048,3491,166.238095238,KS@5620@D0404,201113000925,SY18-19,,407,0.532026144,,Public,,,,Cafeteria,,,D0404,Riverton,Riverton Elementary School,Public School,5620,Cherokee,Riverton,66770-0290,N,10/1/2018,21,Traditional,765,320,87,5057,1286,3579,2830,661,872
,,,,,,,,,10,2018,,,,,19,19,,,,,,,,KS,2088,109.894736842,2303,121.210526316,KS@860@D0233,201014000134,SY18-19,,133,0.711229947,,Public,,,,,,,D0233,Olathe,Westview Elementary School,Public School,860,Johnson,Olathe,66061-4300,N,10/1/2018,19,NULL,187,102,31,1650,438,471,1768,535,754
,,,,,,,,,4,2019,,,,,30,30,,,,,,,,KS,4978,165.933333333,4978,165.933333333,KS@8574@S0352,,SY18-19,,170,1,,Other,,,,,,,S0352,Kansas Juvenile Correctional Complex,Lawrence Gardner High School,State Residential Child Care Institution,8574,Shawnee,Topeka,66618,N,4/1/2019,30,NULL,170,170,0,4978,0,0,4978,0,0
,,,,,,,,,12,2018,,,,,12,12,,,,,,,,KS,4794,399.5,2516,209.666666667,KS@1802@D0259,201299000325,SY18-19,,474,0.841918295,,Public,,,,Cafeteria,,,D0259,Wichita,Woodman Elementary School,Public School,1802,Sedgwick,Wichita,67217-1899,N,12/1/2018,12,Traditional,563,431,43,4396,398,554,2355,161,251
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,445,24.722222222,82,4.555555556,KS@849@D0233,201014001624,SY18-19,,43,0.130699088,,Public,,,,Cafeteria,,,D0233,Olathe,Brougham Elementary School,Public School,849,Johnson,Olathe,66062-3100,N,9/1/2018,18,Traditional,329,17,26,140,305,2361,15,67,98
,,,,,,,,,3,2019,,,,,14,14,,,,,,,,KS,1019,72.785714286,425,30.357142857,KS@8819@D0512,201164001542,SY18-19,,90,0.170132325,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,Mill Creek Elementary School,Public School,8819,Johnson,Shawnee Mission,66215-5300,N,3/1/2019,14,Traditional,529,69,21,800,219,2718,346,79,240
,,,,,,,,,1,2019,,,,,16,16,,,,,,,,KS,228,14.25,72,4.5,KS@7790@D0229,201200001841,SY18-19,,20,0.049261084,,Public,,,,Cafeteria,,,D0229,Blue Valley,Sunrise Point Elementary,Public School,7790,Johnson,Overland Park,66224,N,1/1/2019,16,Traditional,406,17,3,182,46,3338,56,16,72
,,,,,,,,,8,2018,,,,,14,14,,,,,,,,KS,1053,75.214285714,531,37.928571429,KS@2046@D0266,200914000383,SY18-19,,120,0.221811460,,Public,,,,Cafeteria,,,D0266,Maize,Maize Elementary,Public School,2046,Sedgwick,Maize,67101,N,8/1/2018,14,Traditional,541,80,40,776,277,2371,411,120,611
,,,,,,,,,5,2019,,,,,16,16,,,,,,,,KS,290,18.125,1,0.0625,KS@846@D0233,201014001484,SY18-19,,27,0.066997519,,Public,,,,Cafeteria,,,D0233,Olathe,Regency Place Elementary School,Public School,846,Johnson,Olathe,66062,N,5/1/2019,16,Traditional,403,21,6,223,67,2753,1,0,85
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,961,50.578947368,0,0,KS@6712@X0726,,SY18-19,,62,0.402597403,,Nonpublic,,,,,,,X0726,Sacred Heart Elementary,Sacred Heart Elementary School,Private School,6712,Ford,Dodge City,67801,N,9/1/2018,19,NULL,154,45,17,719,242,1237,0,0,0
,,,,,,,,,2,2019,,,,,17,17,,,,,,,,KS,560,32.941176471,131,7.705882353,KS@6898@D0448,200771001128,SY18-19,,45,0.221674877,,Public,,,,Cafeteria,,,D0448,Inman,Inman High School,Public School,6898,McPherson,Inman,67546,N,2/1/2019,17,Traditional,203,37,8,464,96,2052,112,19,137
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,4382,243.444444444,3047,169.277777778,KS@1292@D0249,,SY18-19,,369,0.388830348,,Public,,,,Second Chance,,,D0249,Frontenac,Frontenac Jr. High and High School,Public School,1292,Crawford,Frontenac,66763,N,11/1/2018,18,"Traditional Second Chance,",949,286,83,3385,997,4718,2473,574,2096
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,1879,104.388888889,389,21.611111111,KS@1941@D0260,200546001630,SY18-19,,146,0.236628849,,Public,,,,Cafeteria,,,D0260,Derby,Derby Hills Elementary School,Public School,1941,Sedgwick,Derby,67037-3899,N,11/1/2018,18,Traditional,617,90,56,1234,645,4086,290,99,441
,,,,,,,,,2,2019,,,,,0,0,,,,,,,,KS,0,,0,,KS@15240@D0266,,SY18-19,,0,,,Public,,,,,,,D0266,Maize,Maize Early Childhood Center,Public School,15240,Sedgwick,Wichita,67205,N,2/1/2019,0,NULL,0,0,0,0,0,0,0,0,0
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,487,27.055555556,97,5.388888889,KS@756@D0229,201200001473,SY18-19,,39,0.032773109,,Public,,,,Cafeteria,,,D0229,Blue Valley,Lakewood Elementary School,Public School,756,Johnson,Overland Park,66223-9998,N,9/1/2018,18,Traditional,1190,27,12,309,178,3492,66,31,195
,,,,,,,,,9,2018,,,,,15,15,,,,,,,,KS,1768,117.866666667,1142,76.133333333,KS@132@D0200,200669000013,SY18-19,,141,0.528089888,,Public,,,,Cafeteria,,,D0200,Greeley County,Greeley County Elementary School,Public School,132,Greeley,Tribune,67879-0580,N,9/1/2018,15,Traditional,267,98,43,1219,549,1326,822,320,300
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,1353,67.65,718,35.9,KS@4022@D0343,201062000675,SY18-19,,80,0.412371134,,Public,,,,Cafeteria,,,D0343,Perry,Lecompton Elementary,Public School,4022,Jefferson,Lecompton,66050,N,4/1/2019,20,Traditional,194,60,20,1032,321,1217,563,155,179
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,1548,103.2,775,51.666666667,KS@3936@D0338,201254000662,SY18-19,,145,0.396174863,,Public,,,,Cafeteria,,,D0338,Valley Falls,Valley Falls Elementary,Public School,3936,Jefferson,Valley Falls,66088-0190,N,3/1/2019,15,Traditional,366,111,34,1230,318,1674,655,120,297
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,8556,450.315789474,3036,159.789473684,KS@1650@D0259,201299000265,SY18-19,,499,0.943289225,,Public,,,,Cafeteria,,,D0259,Wichita,Cloud Elementary School,Public School,1650,Sedgwick,Wichita,67204-5774,N,9/1/2018,19,Traditional,529,454,45,7843,713,305,2782,254,86
,,,,,,,,,1,2019,,,,,16,16,,,,,,,,KS,992,62,405,25.3125,KS@818@D0231,200642001825,SY18-19,,81,0.223140496,,Public,,,,Other,,,D0231,Gardner Edgerton,Nike Elementary,Public School,818,Johnson,Gardner,66030,N,1/1/2019,16,"Traditional Class,",363,45,36,581,411,2495,245,160,605
,,,,,,,,,1,2019,,,,,15,15,,,,,,,,KS,3368,224.533333333,1754,116.933333333,KS@8298@D0500,200795001401,SY18-19,,253,0.897163121,,Public,,,,Cafeteria,,,D0500,Kansas City,Mark Twain Elementary School,Public School,8298,Wyandotte,Kansas City,66102,N,1/1/2019,15,Traditional,282,253,0,3368,0,382,1754,0,199
,,,,,,,,,1,2019,,,,,19,19,,,,,,,,KS,182,9.578947368,0,0,KS@6060@X0746,,SY18-19,,14,0.144329897,,Nonpublic,,,,,,,X0746,St Joseph School,St. Joseph School,Private School,6060,McPherson,McPherson,67460,N,1/1/2019,19,NULL,97,8,6,105,77,915,0,0,0
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,1260,70,752,41.777777778,KS@4504@D0362,200825000754,SY18-19,,87,0.443877551,,Public,,,,Cafeteria,,,D0362,Prairie View,Prairie View Middle School,Public School,4504,Linn,La Cygne,66040,N,11/1/2018,18,Traditional,196,69,18,1011,249,863,622,130,198
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,3051,254.25,1310,109.166666667,KS@5880@D0413,200459000972,SY18-19,,323,0.571681416,,Public,,,,Other,,,D0413,Chanute,Royster Middle School,Public School,5880,Neosho,Chanute,66720-1697,N,8/1/2018,12,"Traditional Kiosk,",565,272,51,2566,485,1364,1164,146,90
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,1085,60.277777778,0,0,KS@3052@D0306,200000100523,SY18-19,,73,0.220543807,,Public,,,,,,,D0306,Southeast of Saline,SE of Saline High,Public School,3052,Saline,Gypsum,67448-9762,N,11/1/2018,18,NULL,331,48,25,733,352,3804,0,0,0
,,,,,,,,,11,2018,,,,,13,13,,,,,,,,KS,150,11.538461538,137,10.538461538,KS@246@D0205,,SY18-19,,21,0.807692308,,Public,,,,Cafeteria,,,D0205,Bluestem,BlueStem-Haverhill Elem,Public School,246,Butler,Augusta,67010,N,11/1/2018,13,Traditional,26,18,3,135,15,23,125,12,26
,,,,,,,,,3,2019,,,,,14,14,,,,,,,,KS,2159,154.214285714,2334,166.714285714,KS@1302@D0250,201071000201,SY18-19,,193,0.531680441,,Public,,,,,,,D0250,Pittsburg Community Schools,George E. Nettels Elementary School,Public School,1302,Crawford,Pittsburg,66762-6398,N,3/1/2019,14,NULL,363,171,22,1949,210,996,2048,286,2020
,,,,,,,,,10,2018,,,,,22,22,,,,,,,,KS,1838,83.545454545,1093,49.681818182,KS@964@D0235,201245000150,SY18-19,,112,0.525821596,,Public,,,,Second Chance,,,D0235,Uniontown,Uniontown High School,Public School,964,Bourbon,Uniontown,66779,N,10/1/2018,22,"Traditional Second Chance,",213,61,51,991,847,1369,708,385,512
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,2416,134.222222222,1063,59.055555556,KS@6938@D0450,201218001133,SY18-19,,163,0.321499014,,Public,,,,Cafeteria,,,D0450,Shawnee Heights,Berryton Elementary School,Public School,6938,Shawnee,Berryton,66409-9709,N,9/1/2018,18,Traditional,507,115,48,1727,689,3417,760,303,455
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,2070,172.5,1057,88.083333333,KS@3118@D0308,200762000537,SY18-19,,214,0.520681265,,Public,,,,Cafeteria,,,D0308,Hutchinson,Morgan Elementary School,Public School,3118,Reno,Hutchinson,67502,N,8/1/2018,12,Traditional,411,170,44,1709,361,1137,945,112,175
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,3815,190.75,1977,98.85,KS@5880@D0413,200459000972,SY18-19,,286,0.577777778,,Public,,,,Other,,,D0413,Chanute,Royster Middle School,Public School,5880,Neosho,Chanute,66720-1697,N,4/1/2019,20,"Traditional Kiosk,",495,241,45,3163,652,1956,1740,237,177
,,,,,,,,,11,2018,,,,,30,30,,,,,,,,KS,1157,38.566666667,1174,39.133333333,KS@15239@X0925,,SY18-19,,99,1,,Other,,,,Cafeteria,,,X0925,"KVC Hospital, Inc",KVC Wheatland,Private Residential Child Care Institution,15239,Wyandotte,Hays,67601,N,11/1/2018,30,Traditional,99,99,0,1157,0,0,1174,0,0
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,2736,152,926,51.444444444,KS@8434@X0814,,SY18-19,,200,0.598802395,,Nonpublic,,,,Cafeteria,,,X0814,Bishop Ward High School,Bishop Ward High School,Private School,8434,Wyandotte,Kansas City,66102,N,9/1/2018,18,Traditional,334,155,45,2311,425,533,860,66,86
,,,,,,,,,5,2019,,,,,12,12,,,,,,,,KS,958,79.833333333,227,18.916666667,KS@180@D0203,,SY18-19,,96,0.195121951,,Public,,,,,,,D0203,Piper-Kansas City,Piper East Elementary School,Public School,180,Wyandotte,Kansas City,66109,N,5/1/2019,12,NULL,492,63,33,614,344,2637,152,75,177
,,,,,,,,,10,2018,,,,,20,20,,,,,,,,KS,2643,132.15,1737,86.85,KS@8702@D0508,200381001504,SY18-19,,160,0.603773585,,Public,,,,Cafeteria,,,D0508,Baxter Springs,Central Elementary School,Public School,8702,Cherokee,Baxter Springs,66713,N,10/1/2018,20,Traditional,265,130,30,2146,497,1135,1412,325,323
,,,,,,,,,3,2019,,,,,12,12,,,,,,,,KS,964,80.333333333,187,15.583333333,KS@2892@D0300,200504000492,SY18-19,,109,0.419230769,,Public,,,,Cafeteria,,,D0300,Comanche County,South Central Elementary School,Public School,2892,Comanche,Protection,67127-0038,N,3/1/2019,12,Traditional,260,82,27,708,256,1189,134,53,79
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,944,52.444444444,181,10.055555556,KS@7210@D0460,200717001194,SY18-19,,72,0.264705882,,Public,,,,Cafeteria,,,D0460,Hesston,Hesston High School,Public School,7210,Harvey,Hesston,67062,N,9/1/2018,18,Traditional,272,39,33,531,413,2096,131,50,120
,,,,,,,,,4,2019,,,,,21,21,,,,,,,,KS,2011,95.761904762,428,20.380952381,KS@875@D0233,201014001670,SY18-19,,127,0.332460733,,Public,,,,Cafeteria,,,D0233,Olathe,Heritage Elementary School,Public School,875,Johnson,Olathe,66062-3200,N,4/1/2019,21,Traditional,382,74,53,1199,812,2993,303,125,136
