School ID,School Name,District ID,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,County
1331,Dolby Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,817 Jefferson Dr,,[PK K 1-5],,N,,,,,,,,500,,177,51,,18720,4771,13906,,11444,2075,5673,,,167,167,,,,,,,,,LA,23491,140.664670659,13519,80.952095808,LA@1331@356,,SY17-18,,228,0.456,Primary,,,,,,,,Calcasieu Parish
1353,E.K. Key Elementary School,356,Calcasieu Parish School Board,LA,Sulphur,70663,1201 E Burton St,,[PK K 1-5],,Y,,,,,,,,481,,467,0,,52979,0,1644,,34277,0,1065,,,167,167,,,,,,,,,LA,52979,317.239520958,34277,205.251497006,LA@1353@356,,SY17-18,,467,0.969902788,Primary,,,,,,,,Calcasieu Parish
1392,F.K. White Middle School,356,Calcasieu Parish School Board,LA,Lake Charles,70607,1000 E McNeese,,[6-8],,Y,,,,,,,,618,,599,0,,65917,0,2047,,22996,0,714,,,167,167,,,,,,,,,LA,65917,394.712574850,22996,137.700598802,LA@1392@356,,SY17-18,,599,0.969881114,Middle,,,,,,,,Calcasieu Parish
1333,Fairview Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,3955 Gerstner Mem Dr,,[PK K 1-5],,Y,,,,,,,,515,,499,0,,74034,0,2296,,46817,0,1452,,,167,167,,,,,,,,,LA,74034,443.317365269,46817,280.341317365,LA@1333@356,,SY17-18,,499,0.969920084,Primary,,,,,,,,Calcasieu Parish
1335,Frasch Elementary School,356,Calcasieu Parish School Board,LA,Sulphur,70663,540 S Huntington,,[PK K 1-5],,N,,,,,,,,627,,230,48,,26324,5096,18966,,16689,2523,9099,,,167,167,,,,,,,,,LA,31420,188.143712575,19212,115.041916168,LA@1335@356,,SY17-18,,278,0.443381180,Primary,,,,,,,,Calcasieu Parish
1336,Gillis Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70611,916 Topsy Rd,,[PK K 1-5],,N,,,,,,,,833,,321,53,,41315,4168,25198,,25114,1831,9782,,,167,167,,,,,,,,,LA,45483,272.353293413,26945,161.347305389,LA@1336@356,,SY17-18,,374,0.448979592,Primary,,,,,,,,Calcasieu Parish
1346,Henry Heights Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,3600 Louisiana Ave,,[PK K 1-5],,Y,,,,,,,,382,,371,0,,54495,0,1690,,28968,0,899,,,167,167,,,,,,,,,LA,54495,326.317365269,28968,173.461077844,LA@1346@356,,SY17-18,,371,0.969920797,Primary,,,,,,,,Calcasieu Parish
1348,Iowa High School,356,Calcasieu Parish School Board,LA,Iowa,70647,401 Miller Ave,,[6-12],,N,,,,,,,,1088,,437,102,,38045,6569,20625,,15261,1894,4520,,,167,167,,,,,,,,,LA,44614,267.149700599,17155,102.724550898,LA@1348@356,,SY17-18,,539,0.495404412,Middle/High,,,,,,,,Calcasieu Parish
1385,J.I. Watson Middle School,356,Calcasieu Parish School Board,LA,Iowa,70647,201 E. First Street,,[PK K 1-5],,Y,,,,,,,,589,,571,0,,65254,0,2025,,37512,0,1163,,,167,167,,,,,,,,,LA,65254,390.742514970,37512,224.622754491,LA@1385@356,,SY17-18,,571,0.969901455,Primary,,,,,,,,Calcasieu Parish
1332,Jake Drost School for Exceptional Children,356,Calcasieu Parish School Board,LA,Sulphur,70663,1100 N Crocker St,,[PK K 1-12],,Y,,,,,,,,47,,46,0,,6206,0,192,,6208,0,193,,,165,165,,,,,,,,,LA,6206,37.612121212,6208,37.624242424,LA@1332@356,,SY17-18,,46,0.969990622,Other,,,,,,,,Calcasieu Parish
1323,Jessie D. Clifton Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,100 N Prater St,,[PK K 1-2],,Y,,,,,,,,464,,450,0,,64335,0,1996,,49735,0,1543,,,167,167,,,,,,,,,LA,64335,385.239520958,49735,297.814371257,LA@1323@356,,SY17-18,,450,0.969908489,Primary,,,,,,,,Calcasieu Parish
1351,John F. Kennedy Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,2001 Russell St,,[PK K 1-5],,Y,,,,,,,,177,,172,0,,25521,0,794,,14694,0,457,,,167,167,,,,,,,,,LA,25521,152.820359281,14694,87.988023952,LA@1351@356,,SY17-18,,172,0.969827095,Primary,,,,,,,,Calcasieu Parish
1349,"John J. Johnson II, Elementary School",356,Calcasieu Parish School Board,LA,Lake Charles,70601,1618 Mill St,,[PK K 1-2],,Y,,,,,,,,300,,291,0,,42148,0,1309,,26470,0,822,,,167,167,,,,,,,,,LA,42148,252.383233533,26470,158.502994012,LA@1349@356,,SY17-18,,291,0.969878270,Primary,,,,,,,,Calcasieu Parish
1354,LaGrange High School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,3420 Louisiana Ave,,[9-12],,Y,,,,,,,,1118,,1084,0,,79021,0,2453,,19135,0,594,,,167,167,,,,,,,,,LA,79021,473.179640719,19135,114.580838323,LA@1354@356,,SY17-18,,1084,0.969892236,High,,,,,,,,Calcasieu Parish
1358,LeBlanc Middle School,356,Calcasieu Parish School Board,LA,Sulphur,70663,1100 N Crocker St,,[6-8],,Y,,,,,,,,396,,384,0,,38053,0,1180,,17914,0,554,,,167,167,,,,,,,,,LA,38053,227.862275449,17914,107.269461078,LA@1358@356,,SY17-18,,384,0.969923279,Middle,,,,,,,,Calcasieu Parish
3269,LeBleu Settlement Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70615,6509 Hwy 3059,,[PK K 1-5],,N,,,,,,,,479,,218,46,,28674,5408,16976,,21648,3215,10195,,,167,167,,,,,,,,,LA,34082,204.083832335,24863,148.880239521,LA@3269@356,,SY17-18,,264,0.551148225,Primary,,,,,,,,Calcasieu Parish
1350,M.J. Kaufman Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,301 Tekel St,,[PK K 1-5],,Y,,,,,,,,438,,425,0,,53595,0,1663,,37324,0,1160,,,167,167,,,,,,,,,LA,53595,320.928143713,37324,223.497005988,LA@1350@356,,SY17-18,,425,0.969904810,Primary,,,,,,,,Calcasieu Parish
