Unique ID,District Name,School ID,District ID,School Name,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),School Type-Original,Street Address-Line 2,State-Physical,Enrollment-Reduced,Enrollment-Free,Enrollment-Total,School Year,School Level-Original,Street Address-Line 1,City,Zip Code,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Operating Days-Lunch Only,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,NCES ID,County
GA@0001@11273,MURPHY HARPST CHILDREN'S CENTER,0001,11273,Murphy Harpst Children's Center,,,,,,,,,,,,58.087671233,21202,55.016438356,20081,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,740 Fletcher Street,Cedartown,30125,N,,N,,365,365,0,21202,0,0,20081,0,,
GA@0001@11276,"KIDSPEACE NATIONAL CENTERS OF GA, I",0001,11276,"KidsPeace National Center of Georgia, Inc.",,,,,,,,,,,,58.797260274,21461,53.520547945,19535,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,101 KidsPeace Drive,Bowdon,30108,N,,N,,365,365,0,21461,0,0,19535,0,,
GA@0001@11277,KENNETH B WALKER RESIDENTIAL HOME (,0001,11277,Kenneth B Walker 1,,,,,,,,,,,,9.027397260,3295,9.789041096,3573,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2305 Amos Street,Columbus,31906,N,,N,,365,365,0,3295,0,0,3573,0,,
GA@0002@11277,KENNETH B WALKER RESIDENTIAL HOME (,0002,11277,Kenneth B Walker 2,,,,,,,,,,,,15.150684932,5530,15.148351648,5514,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,3108 11th Avenue,Columbus,31904,N,,N,,364,365,0,5530,0,0,5514,0,,
GA@0003@11277,KENNETH B WALKER RESIDENTIAL HOME (,0003,11277,Kenneth B Walker 3,,,,,,,,,,,,7,434,7,434,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,7763 Fortson Road,Columbus,31904,N,,N,,62,62,0,434,0,0,434,0,,
GA@0004@11277,KENNETH B WALKER RESIDENTIAL HOME (,0004,11277,Kenneth B Walker 4,,,,,,,,,,,,11.931506849,4355,11.945054945,4348,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,5790 Bunche Street,Columbus,31907,N,,N,,364,365,0,4355,0,0,4348,0,,
GA@0001@11278,YOUNG ADULT GUIDANCE CENTER,0001,11278,"The Young Adult Guidance Center, Inc.",,,,,,,,,,,,15.791780822,5764,8.339726027,3044,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1230 Hightower Road,Atlanta,30318,N,,N,,365,365,0,5764,0,0,3044,0,,
GA@0001@11279,A FRIEND'S HOUSE,0001,11279,A Friend's House,,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,111 Henry Parkway,McDonough,30253,N,,N,,0,0,0,0,0,0,0,0,,
GA@0001@11285,CREATIVE LEARNING CENTER,0001,11285,Creative Learning Center,,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,205 Ministry Mountain Drive,Clayton,30525,N,,N,,0,0,0,0,0,0,0,0,,
GA@0001@11330,Chattahoochee Hills Charter School,0001,11330,Chattahoochee Hills Charter School,,,,,,,,,,,,84.664804469,15155,111.100558659,19887,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,9670 Rivertown Road,Chattahoochee Hills,30213,N,,N,,179,179,3050,11239,3916,5233,14774,5113,,
