Claim Year,Claim Month,NCES ID,ISP,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,CEP (Y/N),Enrollment-Free and Reduced,Operating Days-Lunch Only,Operating Days-Breakfast Only,School Name,School ID,District ID,State-Reporting,School Year,Claim Date,District Name,Enrollment-Paid,Provision 2 (Y/N),BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Type-Original,School Level-Standardized,FR Enrollment Percentage,Enrollment-Reduced,Enrollment-Free,FR Enrollment,Target Area,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Universal Free (Y/N),Provision 3 (Y/N),Provision 1 (Y/N),School Level-Original,Street Address-Line 2,State-Physical,Street Address-Line 1,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid
2018,1,,,,,,,18.5,18.5,,,0512,NH,SY17-18,1/1/2018,"Easter Seals NH, Inc.",,,,,,,,,,,,,,,,,NH@000@0512,139.135135135,2574,116.432432432,2154,,,,,,,,18.5,,,,,,,,,1 Mammoth Rd,Manchester,3102,Hillsborough,2154,0,32,2574,0,18
2018,1,,,,,,,18.5,18.5,,,0056,NH,SY17-18,1/1/2018,Somersworth SAU Office,,,,,,,,,,,,,,,,,NH@000@0056,299.459459459,5540,553.945945946,10248,,,,,,,,18.5,,,,,,,,,51 West High Street,Somersworth,3878,Strafford,8535,1713,6923,4755,785,1529
2018,4,,,,,,,18.5,18.5,,,0031,NH,SY17-18,4/1/2018,Newmarket SAU Office,,,,,,,,,,,,,,,,,NH@000@0031,91.405405405,1691,118.432432432,2191,,,,,,,,18.5,,,,,,,,,186A Main St,Newmarket,3857,Rockingham,1920,271,3834,1599,92,1062
2018,1,,,,,,,18.5,18.5,,,0301,NH,SY17-18,1/1/2018,Prospect Mountain JMA,,,,,,,,,,,,,,,,,NH@000@0301,39.783783784,736,70.756756757,1309,,,,,,,,18.5,,,,,,,,,242 Suncook Valley Road,Alton,3809,Belknap,1009,300,3092,610,126,944
2017,11,,,,,,,18.5,18.5,,,0032,NH,SY17-18,11/1/2017,Plainfield SAU Office,,,,,,,,,,,,,,,,,NH@000@0032,,,8,148,,,,,,,,18.5,,,,,,,,,92 Bonner Road,Meriden,3745,Sullivan,134,14,854,,,
2018,3,,,,,,,18.5,18.5,,,0002,NH,SY17-18,3/1/2018,Inter-Lakes Cooperative SAU Office,,,,,,,,,,,,,,,,,NH@000@0002,118.702702703,2196,257.945945946,4772,,,,,,,,18.5,,,,,,,,,"103 Main St, Suite #2",Meredith,3217,Grafton,4239,533,4716,1991,205,637
2018,4,,,,,,,18.5,18.5,,,0027,NH,SY17-18,4/1/2018,Litchfield SAU Office,,,,,,,,,,,,,,,,,NH@000@0027,6.594594595,122,61.729729730,1142,,,,,,,,18.5,,,,,,,,,1 Highlander Court,Litchfield,3052,Hillsborough,948,194,5141,95,27,144
2017,12,,,,,,,18.5,18.5,,,0101,NH,SY17-18,12/1/2017,Wakefield SAU Office,,,,,,,,,,,,,,,,,NH@000@0101,0,0,0,0,,,,,,,,18.5,,,,,,,,,76 Taylor Way,Sanbornville,3872,Carroll,0,0,0,0,0,0
2018,6,,,,,,,18.5,18.5,,,0051,NH,SY17-18,6/1/2018,Pittsfield SAU Office,,,,,,,,,,,,,,,,,NH@000@0051,86.594594595,1602,171.567567568,3174,,,,,,,,18.5,,,,,,,,,23 Oneida Street  Unit 1,Pittsfield,3263,Merrimack,2832,342,1454,1494,108,300
2018,6,,,,,,,18.5,18.5,,,0060,NH,SY17-18,6/1/2018,Fall Mountain Regional SAU Office,,,,,,,,,,,,,,,,,NH@000@0060,300.270270270,5555,377.567567568,6985,,,,,,,,18.5,,,,,,,,,PO Box 720,Langdon,3602,Cheshire,6258,727,3754,5105,450,2924
2018,2,,,,,,,18.5,18.5,,,0008,NH,SY17-18,2/1/2018,Concord SAU Office,,,,,,,,,,,,,,,,,NH@000@0008,478.108108108,8845,958.810810811,17738,,,,,,,,18.5,,,,,,,,,38 Liberty Street,Concord,3301,Merrimack,15823,1915,12809,8154,691,1423
2017,9,,,,,,,18.5,18.5,,,0049,NH,SY17-18,9/1/2017,Governor Wentworth Regional SAU Office,,,,,,,,,,,,,,,,,NH@000@0049,209.027027027,3867,542,10027,,,,,,,,18.5,,,,,,,,,PO Box 190,Wolfeboro,3894,Carroll,7950,2077,9382,3177,690,1185
2017,9,,,,,,,18.5,18.5,,,0018,NH,SY17-18,9/1/2017,Franklin SAU Office,,,,,,,,,,,,,,,,,NH@000@0018,180.648648649,3342,479.243243243,8866,,,,,,,,18.5,,,,,,,,,119 Central Street,Franklin,3235,Merrimack,7982,884,2896,3116,226,381
2018,1,,,,,,,18.5,18.5,,,0011,NH,SY17-18,1/1/2018,Dover SAU Office,,,,,,,,,,,,,,,,,NH@000@0011,212.702702703,3935,643.513513514,11905,,,,,,,,18.5,,,,,,,,,McConnell Center,Dover,3820,Strafford,9770,2135,18426,3566,369,1266
2017,12,,,,,,,18.5,18.5,,,0092,NH,SY17-18,12/1/2017,Hinsdale SAU Office,,,,,,,,,,,,,,,,,NH@000@0092,65.189189189,1206,157.891891892,2921,,,,,,,,18.5,,,,,,,,,49 School Street,Hinsdale,3451,Cheshire,2562,359,2017,1049,157,364
2018,2,,,,,,,18.5,18.5,,,0011,NH,SY17-18,2/1/2018,Dover SAU Office,,,,,,,,,,,,,,,,,NH@000@0011,198.918918919,3680,607.729729730,11243,,,,,,,,18.5,,,,,,,,,McConnell Center,Dover,3820,Strafford,9252,1991,17297,3328,352,1261
2018,5,,,,,,,18.5,18.5,,,0073,NH,SY17-18,5/1/2018,Gilford SAU Office,,,,,,,,,,,,,,,,,NH@000@0073,77.675675676,1437,161.351351351,2985,,,,,,,,18.5,,,,,,,,,2 Belknap Mountain Rd.,Gilford,3249,Belknap,2607,378,7793,1273,164,903
2018,4,,,,,,,18.5,18.5,,,0005,NH,SY17-18,4/1/2018,Oyster River SAU Office,,,,,,,,,,,,,,,,,NH@000@0005,28.594594595,529,86.054054054,1592,,,,,,,,18.5,,,,,,,,,36 Coe Drive,Durham,3824,Strafford,1201,391,9844,396,133,1229
2018,2,,,,,,,18.5,18.5,,,0047,NH,SY17-18,2/1/2018,Jaffrey-Rindge SAU Office,,,,,,,,,,,,,,,,,NH@000@0047,75.405405405,1395,228.378378378,4225,,,,,,,,18.5,,,,,,,,,"81 Fitzgerald Drive, Unit 2",Jaffrey,3452,Cheshire,3212,1013,5504,1184,211,474
