IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
543,Pinnacle Academy,Elementary School,Community School,Cuyahoga,"860 E 222nd St, Euclid, Ohio, 44123",14980
543,Pinnacle Academy,Community School Startup,Community School,Cuyahoga,"860 E 222nd St, Euclid, Ohio, 44123",14980
546,Winterfield Venture Academy,Elementary School,Community School,Lucas,"305 Wenz Rd, Toledo, Ohio, 43615",14980
546,Winterfield Venture Academy,Community School Startup,Community School,Lucas,"305 Wenz Rd, Toledo, Ohio, 43615",14980
549,South-Western Preschool Center,Elementary School,Public School,Franklin,"4324 Haughn Rd, Grove City, Ohio, 43123",44800
551,Liberty Christian Academy - East Campus,High School,Nonpublic School,Licking,"10447 Refugee Rd SW, Pataskala, Ohio, 43062",551
553,Columbus Humanities  Arts and Technology Academy,Elementary School,Community School,Franklin,"1333 Morse Rd, Columbus, Ohio, 43229",15427
553,Columbus Humanities  Arts and Technology Academy,Community School Startup,Community School,Franklin,"1333 Morse Rd, Columbus, Ohio, 43229",15427
558,Columbus Preparatory Academy,Elementary School,Community School,Franklin,"3330 Chippewa St, Columbus, Ohio, 43204",15427
558,Columbus Preparatory Academy,Community School Startup,Community School,Franklin,"3330 Chippewa St, Columbus, Ohio, 43204",15427
557,Columbus Arts & Technology Academy,Elementary School,Community School,Franklin,"2255 Kimberly Pkwy E, Columbus, Ohio, 43232",15427
557,Columbus Arts & Technology Academy,Community School Startup,Community School,Franklin,"2255 Kimberly Pkwy E, Columbus, Ohio, 43232",15427
556,A+ Arts Academy,High School,Community School,Franklin,"1395 Fair Ave, Columbus, Ohio, 43205",N/A
556,A+ Arts Academy,Community School Startup,Community School,Franklin,"1395 Fair Ave, Columbus, Ohio, 43205",N/A
559,Orion Academy,Elementary School,Community School,Hamilton,"1798 Queen City Ave, Cincinnati, Ohio, 45214",14980
559,Orion Academy,Community School Startup,Community School,Hamilton,"1798 Queen City Ave, Cincinnati, Ohio, 45214",14980
560,Apex Academy,Elementary School,Community School,Cuyahoga,"16005 Terrace Rd, Cleveland, Ohio, 44112",14980
560,Apex Academy,Community School Startup,Community School,Cuyahoga,"16005 Terrace Rd, Cleveland, Ohio, 44112",14980
575,Hope Academy Northwest Campus,High School,Community School,Cuyahoga,"1441 W 116th St, Cleveland, Ohio, 44102",15427
575,Hope Academy Northwest Campus,Community School Startup,Community School,Cuyahoga,"1441 W 116th St, Cleveland, Ohio, 44102",15427
576,King Academy Community School,Elementary School,Community School,Hamilton,"224 W Liberty St, Cincinnati, Ohio, 45202",N/A
576,King Academy Community School,Community School Startup,Community School,Hamilton,"224 W Liberty St, Cincinnati, Ohio, 45202",N/A
577,Emerson Academy ,Elementary School,Community School,Montgomery,"501 Hickory St, Dayton, Ohio, 45410",14980
577,Emerson Academy ,Community School Startup,Community School,Montgomery,"501 Hickory St, Dayton, Ohio, 45410",14980
598,Coshocton Opportunity School,High School,Community School,Coshocton,"1205 Cambridge Rd, Coshocton, Ohio, 43812",N/A
598,Coshocton Opportunity School,Community School Conversion,Community School,Coshocton,"1205 Cambridge Rd, Coshocton, Ohio, 43812",N/A
598,Coshocton Opportunity School,Dropout Recovery,Community School,Coshocton,"1205 Cambridge Rd, Coshocton, Ohio, 43812",N/A
601,Lebanon Christian School,Elementary School,Nonpublic School,Warren,"1436 Deerfield Rd, Lebanon, Ohio, 45036",601
608,Summit Academy Transition High School-Cincinnati,High School,Community School,Hamilton,"5800 Salvia Ave, Cincinnati, Ohio, 45224",14992
608,Summit Academy Transition High School-Cincinnati,Community School Startup,Community School,Hamilton,"5800 Salvia Ave, Cincinnati, Ohio, 45224",14992
