IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
25940,Mt. Washington Elementary School,Elementary School,Public School,Hamilton,"1730 Mears Ave, Cincinnati, Ohio, 45230",43752
25965,Munroe Elementary School,Elementary School,Public School,Summit,"230 N Munroe Rd, Tallmadge, Ohio, 44278",44883
25973,John McIntire Elementary School,Elementary School,Public School,Muskingum,"1275 Roosevelt Ave, Zanesville, Ohio, 43701",45179
25981,Munson Elementary School,Elementary School,Public School,Geauga,"12687 Bass Lake Rd, Chardon, Ohio, 44024",47183
25999,Muraski Elementary School,Elementary School,Public School,Cuyahoga,"20270 Royalton Rd, Strongsville, Ohio, 44149",44842
26054,North Avondale Montessori Elementary School,Elementary School,Public School,Hamilton,"615 Clinton Springs Ave, Cincinnati, Ohio, 45229",43752
26070,North Baltimore High School,High School,Public School,Wood,"2012 Tiger Dr, North Baltimore, Ohio, 45872",50708
26104,North Canton Middle School,Middle School,Public School,Stark,"605 Fair Oaks Ave SW, North Canton, Ohio, 44720",44503
26112,North Central Junior/High School,High School,Public School,Williams,"400 E Baubice St, Pioneer, Ohio, 43554",50641
26120,North College Hill High School,High School,Public School,Hamilton,"1620 W Galbraith Rd, Cincinnati, Ohio, 45239",44511
26211,South Range Elementary School,Elementary School,Public School,Mahoning,"11300 Columbiana Canfield Rd, Canfield, Ohio, 44406",48363
26229,South Range High School,High School,Public School,Mahoning,"11300 Columbiana Canfield Rd, Canfield, Ohio, 44406",48363
26245,North Linden Elementary School,Elementary School,Public School,Franklin,"1718 E Cooke Rd, Columbus, Ohio, 43224",43802
26252,North Elementary School,Elementary School,Public School,Lake,"1941 Red Bird Rd, Madison, Ohio, 44057",47886
26286,North Nimishillen Elementary School,Elementary School,Public School,Stark,"7337 Easton St, Louisville, Ohio, 44641",49874
26302,North Olmsted High School,High School,Public School,Cuyahoga,"5755 Burns Rd, North Olmsted, Ohio, 44070",44529
26310,North Olmsted Middle School,Middle School,Public School,Cuyahoga,"26855 Lorain Rd, North Olmsted, Ohio, 44070",44529
26336,North Ridgeville High School,High School,Public School,Lorain,"34600 Bainbridge Rd, North Ridgeville, Ohio, 44039",44537
26344,North Ridgeville Academic Center,Middle School,Public School,Lorain,"34620 Bainbridge Rd, North Ridgeville, Ohio, 44039",44537
26351,William Crawford Intermediate Schools,Middle School,Public School,Crawford,"5444 Crestline Rd, Crestline, Ohio, 44827",46516
26385,North Union Middle School,Middle School,Public School,Union,"12555 Mulvane Rd, Richwood, Ohio, 43344",50336
26393,North Union High School,High School,Public School,Union,"401 N Franklin St, Richwood, Ohio, 43344",50336
26419,Napoleon Junior/Senior High School,High School,Public School,Henry,"701 Briarheath Ave Ste 123, Napoleon, Ohio, 43545",44438
26427,Nashport Elementary School,Elementary School,Public School,Muskingum,"3775 Creamery Rd, Nashport, Ohio, 43830",48876
26435,Nashville Elementary School,Elementary School,Public School,Holmes,"13495 State Route 39, Big Prairie, Ohio, 44611",47696
26443,Nathan Hale School,Elementary School,Public School,Cuyahoga,"3588 Martin Luther King Dr, Cleveland, Ohio, 44105",43786
26468,National Trail High School,High School,Public School,Preble,"6940 Oxford Gettysburg Rd, New Paris, Ohio, 45347",49270
26484,Navarre Elementary School,Elementary School,Public School,Lucas,"800 Kingston Ave, Toledo, Ohio, 43605",44909
26500,Mathews Junior High School,Junior High School,Public School,Trumbull,"4429 Warren Sharon Rd, Vienna, Ohio, 44473",50153
26542,Special Education Center,Ungraded,Public School,Franklin,"1490 E Main St, Columbus, Ohio, 43205",43802
26567,Nelsonville-York High School,High School,Public School,Athens,"1 Buckeye Dr, Nelsonville, Ohio, 45764",44446
26575,Nelsonville-York Junior High School,Junior High School,Public School,Athens,"3 Buckeye Dr, Nelsonville, Ohio, 45764",44446
26591,Nevin Coppock Elementary School,Elementary School,Public School,Miami,"525 N Hyatt St, Tipp City, Ohio, 45371",45617
26633,New Bremen Elementary School,Elementary School,Public School,Auglaize,"202 S Walnut St - 210, New Bremen, Ohio, 45869",45955
26641,New Bremen High School,High School,Public School,Auglaize,"901 E Monroe St, New Bremen, Ohio, 45869",45955
26658,Mt. Healthy North Elementary School,Elementary School,Public School,Hamilton,"2170 Struble Rd, Cincinnati, Ohio, 45231",44412
26682,Miller City Middle School,Middle School,Public School,Putnam,"5195 S. R. 108, Miller City, Ohio, 45864",49361
26690,New Concord Elementary School,Elementary School,Public School,Muskingum,"4 Stormont St, New Concord, Ohio, 43762",48835
26757,New Knoxville Elementary School,Elementary School,Public School,Auglaize,"345 N Main St, New Knoxville, Ohio, 45871",45963
26765,New Knoxville High School,High School,Public School,Auglaize,"345 N Main St, New Knoxville, Ohio, 45871",45963
26773,Dixie Elementary School,Elementary School,Public School,Montgomery,"1150 W Main St, New Lebanon, Ohio, 45345",48710
26781,Dixie Middle School,Middle School,Public School,Montgomery,"200 S Fuls Rd, New Lebanon, Ohio, 45345",48710
26799,New Lexington Elementary School,Elementary School,Public School,Perry,"2550 Panther Dr NE, New Lexington, Ohio, 43764",44479
26807,New Lexington Middle School,Middle School,Public School,Perry,"2549 Panther Dr NE, New Lexington, Ohio, 43764",44479
26815,New London Elementary School,Elementary School,Public School,Huron,"1 Wildcat Dr, New London, Ohio, 44851",47720
26823,New London High School,High School,Public School,Huron,"1 Wildcat Dr, New London, Ohio, 44851",47720
26849,Tri-Village High School,High School,Public School,Darke,"315 S Main St, New Madison, Ohio, 45346",46680
26864,New Miami Elementary School,Elementary School,Public School,Butler,"606 Seven Mile Ave, Hamilton, Ohio, 45011",46136
26872,New Miami  High School,High School,Public School,Butler,"600 Seven Mile Ave, Hamilton, Ohio, 45011",46136
26880,Springfield Elementary School,Elementary School,Public School,Mahoning,"11419 Youngstown Pittsburgh Rd, New Middletown, Ohio, 44442",48371
26906,New Philadelphia High School,High School,Public School,Tuscarawas,"343 Ray Ave NW, New Philadelphia, Ohio, 44663",44487
26914,New Richmond Elementary School,Elementary School,Public School,Clermont,"1141 Bethel New Richmond Rd, New Richmond, Ohio, 45157",45559
26922,New Richmond High School,High School,Public School,Clermont,"1131 Bethel New Richmond Rd, New Richmond, Ohio, 45157",45559
26930,New Richmond Middle School,Middle School,Public School,Clermont,"1135 Bethel New Richmond Rd, New Richmond, Ohio, 45157",45559
26948,New Riegel Elementary School,Elementary School,Public School,Seneca,"44 N Perry St, New Riegel, Ohio, 44853",49718
26955,New Riegel High School,High School,Public School,Seneca,"44 N Perry St, New Riegel, Ohio, 44853",49718
26989,New Vienna Elementary School,Elementary School,Public School,Clinton,"301 E Church St, New Vienna, Ohio, 45159",46409
27003,Crestview Elementary School,Elementary School,Public School,Columbiana,"3407 Middleton Rd, Columbiana, Ohio, 44408",46433
27011,Newark High School,High School,Public School,Licking,"314 Granville St, Newark, Ohio, 43055",44453
27045,Newbury Elementary School,Elementary School,Public School,Geauga,"14775 Auburn Rd, Newbury, Ohio, 44065",47217
27052,Newbury High School,High School,Public School,Geauga,"14775 Auburn Rd, Newbury, Ohio, 44065",47217
27060,Newcomerstown High School,High School,Public School,Tuscarawas,"659 Beaver St, Newcomerstown, Ohio, 43832",45542
27094,Newport Elementary School,Elementary School,Public School,Washington,"100 Harrison St, Newport, Ohio, 45768",50492
27102,Newton D Baker School,Elementary School,Public School,Cuyahoga,"3690 W 159th St, Cleveland, Ohio, 44111",43786
27110,Newton Elementary School,Elementary School,Public School,Miami,"201 N Long St, Pleasant Hill, Ohio, 45359",48637
27136,Newton Elementary School,Elementary School,Public School,Licking,"6645 Mount Vernon Rd, Newark, Ohio, 43055",48025
27151,Newton Falls High School,High School,Public School,Trumbull,"907 Milton Blvd, Newton Falls, Ohio, 44444",45567
27169,Newton High School,High School,Public School,Miami,"201 N Long St, Pleasant Hill, Ohio, 45359",48637
27185,Mercer Elementary School,Elementary School,Public School,Hamilton,"2600 Bartels Rd, Cincinnati, Ohio, 45244",47340
27193,Fairview Middle School,Middle School,Public School,Defiance,"6289 Us Highway 127, Sherwood, Ohio, 43556",46714
27201,Circleville Elementary School,Elementary School,Public School,Pickaway,"100 Tiger Drive, Circleville, Ohio, 43113",43760
27219,Frank Nicholas Elementary School,Elementary School,Public School,Montgomery,"3846 Vance Rd, Dayton, Ohio, 45439",45054
27250,Noble Elementary School,Elementary School,Public School,Cuyahoga,"1293 Ardoon St, Cleveland Heights, Ohio, 44121",43794
27268,Noble 4-5 Elementary,Elementary School,Public School,Seneca,"130 Minerva St, Tiffin, Ohio, 44883",44891
27300,Noble Elementary School,Elementary School,Public School,Defiance,"10553 Haller St, Defiance, Ohio, 43512",46722
27318,Nolley Elementary School,Elementary School,Public School,Summit,"6285 Renninger Rd, Akron, Ohio, 44319",50005
27326,Nordonia Middle School,Middle School,Public School,Summit,"73 Leonard Ave, Northfield, Ohio, 44067",50047
27334,Nordonia High School,High School,Public School,Summit,"8006 S Bedford Rd, Macedonia, Ohio, 44056",50047
27342,Normandy Elementary School,Elementary School,Public School,Montgomery,"401 Normandy Ridge Rd, Dayton, Ohio, 45459",43737
27359,Normandy Elementary School,Elementary School,Public School,Cuyahoga,"26920 Normandy Rd, Bay Village, Ohio, 44140",43547
27367,Normandy High School,High School,Public School,Cuyahoga,"2500 W Pleasant Valley Rd, Parma, Ohio, 44134",44636
27383,Fairfield North Elementary School,Elementary School,Public School,Butler,"6116 Morris Rd, Hamilton, Ohio, 45011",46102
27425,Waverly Junior High School,Junior High School,Public School,Pike,"3 Tiger Drive, Waverly, Ohio, 45690",49148
27433,North Elementary School,Elementary School,Public School,Columbiana,"90 Maine Blvd, East Liverpool, Ohio, 43920",43919
27458,Orrville Elementary School,Elementary School,Public School,Wayne,"605 Mineral Springs St, Orrville, Ohio, 44667",44610
27490,North Elementary School,Elementary School,Public School,Champaign,"626 N Russell St, Urbana, Ohio, 43078",44941
27508,Lincolnview Elementary School,Elementary School,Public School,Van Wert,"15945 Middle Point Rd, Van Wert, Ohio, 45891",50369
27516,Crestline Preschool,Elementary School,Public School,Crawford,"401 Heiser Ct, Crestline, Ohio, 44827",45344
27532,Tuslaw Elementary School,Elementary School,Public School,Stark,"1920 Manchester Ave NW, Massillon, Ohio, 44647",49957
27565,North High School,High School,Public School,Summit,"985 Gorge Blvd, Akron, Ohio, 44310",43489
27573,North High School,High School,Public School,Lake,"34041 Stevens Blvd, Eastlake, Ohio, 44095",45104
27599,M L King Elementary School,Elementary School,Public School,Mahoning,"2724 Mariner Ave, Youngstown, Ohio, 44505",45161
27607,North Rd Elementary School,Elementary School,Public School,Trumbull,"863 North Rd SE, Warren, Ohio, 44484",50161
27631,Woodridge Primary Elementary School,Elementary School,Public School,Summit,"3313 Northampton Rd, Cuyahoga Falls, Ohio, 44223",49973
27656,Northeastern High School,High School,Public School,Clark,"1480 Bowman Rd, Springfield, Ohio, 45502",46250
27664,Clermont Northeastern Middle School,Middle School,Public School,Clermont,"2792 US Highway 50, Batavia, Ohio, 45103",46326
27672,Northfield Elementary School,Elementary School,Public School,Summit,"9370 Olde 8 Rd, Northfield, Ohio, 44067",50047
27680,Northland High School,High School,Public School,Franklin,"1919 Northcliff Dr, Columbus, Ohio, 43229",43802
27698,Northmont High School,High School,Public School,Montgomery,"4916 National Rd, Clayton, Ohio, 45315",48728
27706,Northmont Middle School,Middle School,Public School,Montgomery,"4810 National Rd, Clayton, Ohio, 45315",48728
27714,Northmoor Elementary School,Elementary School,Public School,Montgomery,"4421 Old Salem Rd, Englewood, Ohio, 45322",48728
27722,Northmor High School,High School,Public School,Morrow,"7819 State Route 19, Galion, Ohio, 44833",48819
27763,Northridge High School,High School,Public School,Montgomery,"2251 Timber Ln, Dayton, Ohio, 45414",48736
27771,Northridge High School,High School,Public School,Licking,"6066 Johnstown Utica Rd, Johnstown, Ohio, 43031",48033
27805,Claymont Intermediate School,Elementary School,Public School,Tuscarawas,"220 N 3rd St, Dennison, Ohio, 44621",43778
27813,Northtowne Elementary School,Elementary School,Public School,Franklin,"4767 Northtowne Blvd, Columbus, Ohio, 43229",43802
27821,Robert C Lindsey Elementary School,Elementary School,Public School,Geauga,"11844 Caves Rd, Chesterland, Ohio, 44026",47225
27839,Northview Elementary School,Elementary School,Public School,Hancock,"133 Lexington Ave, Findlay, Ohio, 45840",43984
27854,Northwest High School,High School,Public School,Scioto,"914 Mohawk Dr, Mc Dermott, Ohio, 45652",49635
27862,Northwest High School,High School,Public School,Stark,"8580 Erie Ave NW, Canal Fulton, Ohio, 44614",49908
27870,Northwestern Elementary School,Elementary School,Public School,Clark,"5610 Troy Rd, Springfield, Ohio, 45502",46268
27888,Northwestern High School,High School,Public School,Wayne,"7473 N Elyria Rd, West Salem, Ohio, 44287",50575
27888,Northwestern High School,STEM School,Public School,Wayne,"7473 N Elyria Rd, West Salem, Ohio, 44287",50575
27896,Northwestern Junior/Senior High School,High School,Public School,Clark,"5650 Troy Rd, Springfield, Ohio, 45502",46268
27946,Greenwood Elementary School,Elementary School,Public School,Lucas,"760 Northlawn Dr, Toledo, Ohio, 43612",48231
27953,Northwood Elementary School,Elementary School,Public School,Wood,"600 Lemoyne Rd, Northwood, Ohio, 43619",50716
27961,Northwood High School,High School,Public School,Wood,"700 Lemoyne Rd, Northwood, Ohio, 43619",50716
27979,Northwood Middle School,Middle School,Public School,Lorain,"700 Gulf Rd, Elyria, Ohio, 44035",43943
27995,Norton High School,High School,Public School,Summit,"1 Panther Way, Norton, Ohio, 44203",44552
28001,Norton Elementary School,Elementary School,Public School,Summit,"4138 Cleveland Massillon Rd, Norton, Ohio, 44203",44552
28027,Norton Middle School,Middle School,Public School,Summit,"4108 S Cleveland Massillon Rd, Norton, Ohio, 44203",44552
28035,Norton Primary Elementary School,Elementary School,Public School,Summit,"3163 Greenwich Rd, Norton, Ohio, 44203",44552
28050,Norwalk Middle School,Middle School,Public School,Huron,"64 Christie Ave, Norwalk, Ohio, 44857",44560
28068,Norwalk High School,High School,Public School,Huron,"350 Shady Lane Dr, Norwalk, Ohio, 44857",44560
28076,Norwayne High School,High School,Public School,Wayne,"350 S Main St, Creston, Ohio, 44217",50567
28100,Norwood High School,High School,Public School,Hamilton,"2020 Sherman Ave, Norwood, Ohio, 45212",44578
28118,Norwood View Elementary School,Elementary School,Public School,Hamilton,"5328 Carthage Ave, Norwood, Ohio, 45212",44578
28134,Northwest Middle School,Middle School,Public School,Stark,"8614 Erie Ave NW, Canal Fulton, Ohio, 44614",49908
28159,Oak Intermediate Elementary School,Elementary School,Public School,Scioto,"#1 Glenwood Tiger Trail, New Boston, Ohio, 45662",44461
28183,Oak Harbor High School,High School,Public School,Ottawa,"11661 W State Route 163, Oak Harbor, Ohio, 43449",48926
28217,Oak Hills High School,High School,Public School,Hamilton,"3200 Ebenezer Rd, Cincinnati, Ohio, 45248",47373
28258,Oakdale Elementary School,Elementary School,Public School,Lucas,"1620 E Broadway St, Toledo, Ohio, 43605",44909
28290,Oakland Park Alternative Elementary,Elementary School,Public School,Franklin,"3392 Atwood Ter, Columbus, Ohio, 43224",43802
28316,Oakmont  Elementary School,Elementary School,Public School,Franklin,"5666 Oakmont Dr, Columbus, Ohio, 43232",43802
28324,Oakview Elementary School,Elementary School,Public School,Montgomery,"4001 Ackerman Blvd, Kettering, Ohio, 45429",44180
28340,Oakwood Elementary School,Elementary School,Public School,Lorain,"925 Spruce St, Elyria, Ohio, 44035",43943
28365,GlenOak High School,High School,Public School,Stark,"1801 Schneider St NE, Canton, Ohio, 44721",49932
28373,Oakwood High School,High School,Public School,Montgomery,"1200 Far Hills Ave, Dayton, Ohio, 45419",44586
28381,Langston Middle School,Middle School,Public School,Lorain,"150 N Pleasant St, Oberlin, Ohio, 44074",44594
28399,Oberlin High School,High School,Public School,Lorain,"281 N Pleasant St, Oberlin, Ohio, 44074",44594
28407,Hamilton Middle School,Middle School,Public School,Franklin,"755 Rathmell Rd, Columbus, Ohio, 43207",46953
28415,Olde Sawmill Elementary School,Elementary School,Public School,Franklin,"2485 Olde Sawmill Blvd, Dublin, Ohio, 43016",47027
28423,Ohio Avenue Elementary School,Elementary School,Public School,Franklin,"505 S Ohio Ave, Columbus, Ohio, 43205",43802
28480,Austintown Intermediate School,Elementary School,Public School,Mahoning,"255 Idaho Rd, Youngstown, Ohio, 44515",48298
28498,Old Fort Elementary School Bettsville Campus,Elementary School,Public School,Seneca,"118 Washington St, Bettsville, Ohio, 44815",49726
28506,Old Fort High School,High School,Public School,Seneca,"7635 N Co Rd 51, Tiffin, Ohio, 44883",49726
28514,Old Orchard Elementary School,Elementary School,Public School,Lucas,"2402 Cheltenham Rd, Toledo, Ohio, 43606",44909
28522,Buckeye Trail Middle School,Middle School,Public School,Guernsey,"65553 Wintergreen Rd, Lore City, Ohio, 43755",69682
28530,Olde Orchard Alt Elementary School,Elementary School,Public School,Franklin,"800 McNaughten Rd, Columbus, Ohio, 43213",43802
28548,Olentangy High School,High School,Public School,Delaware,"675 Lewis Center Rd, Lewis Center, Ohio, 43035",46763
28555,Tecumseh  Middle School,Middle School,Public School,Clark,"10000 W National Rd, New Carlisle, Ohio, 45344",46243
28571,Trotwood-Madison Early Learning Center,Elementary School,Public School,Montgomery,"4400 N Union Rd, Trotwood, Ohio, 45426",48694
28589,Oliver H Perry Elementary School,Elementary School,Public School,Cuyahoga,"18400 Schenely Ave, Cleveland, Ohio, 44119",43786
28605,Olmsted Falls High School,High School,Public School,Cuyahoga,"26939 Bagley Rd, Olmsted Falls, Ohio, 44138",46573
28613,Olmsted Falls Middle School,Middle School,Public School,Cuyahoga,"27045 Bagley Rd, Olmsted Falls, Ohio, 44138",46573
28647,Onaway Elementary School,Elementary School,Public School,Cuyahoga,"3115 Woodbury Rd, Shaker Heights, Ohio, 44120",44750
28662,Ontario Elementary School,Elementary School,Public School,Erie,"924 Ontario St, Sandusky, Ohio, 44870",44743
28670,Ontario High School,High School,Public School,Richland,"467 Shelby Ontario Rd, Mansfield, Ohio, 44906",49478
28688,Ontario Middle School,Middle School,Public School,Richland,"447 Shelby Ontario Rd, Mansfield, Ohio, 44906",49478
28712,Orange High School,High School,Public School,Cuyahoga,"32000 Chagrin Blvd, Pepper Pike, Ohio, 44124",46581
28720,Orchard School,Elementary School,Public School,Cuyahoga,"4200 Bailey Ave, Cleveland, Ohio, 44113",43786
28738,Orchard Hill Intermediate School,Elementary School,Public School,Stark,"1305 Jonathan Ave SW, North Canton, Ohio, 44720",44503
28746,Leetonia Middle School,Middle School,Public School,Columbiana,"450 Walnut St, Leetonia, Ohio, 44431",45443
28753,Orchard Park Elementary School,Elementary School,Public School,Montgomery,"600 E Dorothy Ln, Kettering, Ohio, 45419",44180
28779,Orrville High School,High School,Public School,Wayne,"841 N Ella St, Orrville, Ohio, 44667",44610
28795,Wright Brothers Middle School,Middle School,Public School,Montgomery,"1361 Huffman Ave, Dayton, Ohio, 45403",43844
28811,Reagan Elementary School,Elementary School,Public School,Ashland,"850 Jackson Dr, Ashland, Ohio, 44805",43505
28829,Osborne Elementary School,Elementary School,Public School,Erie,"920 W Osborne St, Sandusky, Ohio, 44870",44743
28845,Buckeye Valley West Elementary School,Elementary School,Public School,Delaware,"61 N 3rd St, Ostrander, Ohio, 43061",46755
28852,Otis Elementary School,Elementary School,Public School,Sandusky,"718 N Brush St, Fremont, Ohio, 43420",44016
28860,Otsego High School,High School,Public School,Wood,"18505 Tontogany Creek Rd Ste 2, Bowling Green, Ohio, 43402",50724
28878,Ottawa Elementary School,Elementary School,Public School,Putnam,"123 Putnam Pkwy, Ottawa, Ohio, 45875",49379
28886,Ottawa Hills Elementary School,Elementary School,Public School,Lucas,"3602 Indian Rd, Toledo, Ohio, 43606",48215
28894,Ottawa Hills High School,High School,Public School,Lucas,"2532 Evergreen Rd, Toledo, Ohio, 43606",48215
28902,Ottawa River Elementary School,Elementary School,Public School,Lucas,"4747 290th St, Toledo, Ohio, 43611",44909
28910,Ottawa-Glandorf High School,High School,Public School,Putnam,"630 Glendale Ave, Ottawa, Ohio, 45875",49379
28928,Ottoville Elementary School,Elementary School,Public School,Putnam,"650 W Third St, Ottoville, Ohio, 45876",49387
28936,Ottoville High School,High School,Public School,Putnam,"650 W Third St, Ottoville, Ohio, 45876",49387
28969,Overlook Elementary School,Elementary School,Public School,Medina,"650 Broad St, Wadsworth, Ohio, 44281",44974
28985,Clermont Northeastern Elementary School,Elementary School,Public School,Clermont,"5347 Hutchinson Rd, Batavia, Ohio, 45103",46326
28993,Oxford Elementary School,Elementary School,Public School,Cuyahoga,"939 Quilliams Rd, Cleveland Heights, Ohio, 44121",43794
29009,Oyler School,High School,Public School,Hamilton,"2121 Hatmaker St, Cincinnati, Ohio, 45204",43752
29025,Paint Valley High School,High School,Public School,Ross,"7454 Us Highway 50 W, Bainbridge, Ohio, 45612",49510
29041,Fairborn Intermediate School,Elementary School,Public School,Greene,"25 Dellwood Dr, Fairborn, Ohio, 45324",43968
29066,Pandora-Gilboa Elementary School,Elementary School,Public School,Putnam,"410 Rocket Ridge, Pandora, Ohio, 45877",49395
29074,Pandora-Gilboa High School,High School,Public School,Putnam,"410 Rocket Ridge, Pandora, Ohio, 45877",49395
29090,Park Elementary School,Elementary School,Public School,Geauga,"111 Goodrich Ct, Chardon, Ohio, 44024",47183
29108,Swanton Elementary School,Elementary School,Public School,Fulton,"111 Crestwood Dr, Swanton, Ohio, 43558",47092
29140,Park Layne Elementary School,Elementary School,Public School,Clark,"12355 Dille Rd, New Carlisle, Ohio, 45344",46243
29157,Western Elementary School,Elementary School,Public School,Pike,"7959 State Route 124, Latham, Ohio, 45646",49155
29181,Parkmoor Elementary School,Elementary School,Public School,Franklin,"1711 Penworth Dr, Columbus, Ohio, 43229",43802
29207,Dover Intermediate School,Elementary School,Public School,Cuyahoga,"2240 Dover Center Rd, Westlake, Ohio, 44145",45062
29223,Gilles-Sweet Elementary School,Elementary School,Public School,Cuyahoga,"4320 West 220 Street, Fairview Park, Ohio, 44126",43976
29249,Parkview Elementary School,Elementary School,Public School,Wayne,"773 Parkview Dr, Wooster, Ohio, 44691",45120
29256,Parkway Elementary School,Elementary School,Public School,Stark,"1490 Parkway Blvd, Alliance, Ohio, 44601",43497
29272,Parkway Middle School,Middle School,Public School,Mercer,"400 Buckeye St, Rockford, Ohio, 45882",48579
29280,Parkway High School,High School,Public School,Mercer,"400 Buckeye St, Rockford, Ohio, 45882",48579
29306,Northwood Elementary School,Elementary School,Public School,Shelby,"1152 Saint Marys Rd, Sidney, Ohio, 45365",44784
29322,Parkwood Elementary School,Elementary School,Public School,Greene,"1791 Wilene Dr, Beavercreek, Ohio, 45432",47241
29330,Parma High School,High School,Public School,Cuyahoga,"6285 W 54th St, Parma, Ohio, 44129",44636
29348,Parma Park Elementary School,Elementary School,Public School,Cuyahoga,"6800 Commonwealth Blvd, Parma Heights, Ohio, 44130",44636
29355,Parsons Elementary School,Elementary School,Public School,Franklin,"3231 Lee Ellen Pl, Columbus, Ohio, 43207",43802
29363,Pataskala Elementary School,Elementary School,Public School,Licking,"395 S High St, Pataskala, Ohio, 43062",48041
29371,Patrick Henry School,Elementary School,Public School,Cuyahoga,"11901 Durant Ave, Cleveland, Ohio, 44108",43786
29413,Paul L Dunbar Elementary School,Elementary School,Public School,Cuyahoga,"2159 West 29th, Cleveland, Ohio, 44113",43786
29439,Kenston Intermediate School,Elementary School,Public School,Geauga,"17419 Snyder Rd, Chagrin Falls, Ohio, 44023",47191
29447,Paulding Middle School,Middle School,Public School,Paulding,"405 N Water St, Paulding, Ohio, 45879",45575
29454,Paulding High School,High School,Public School,Paulding,"405 N Water St, Paulding, Ohio, 45879",45575
29462,Payne Elementary School,Elementary School,Public School,Paulding,"501 W Townline St, Payne, Ohio, 45880",49031
29470,Wayne Trace High School,High School,Public School,Paulding,"4915 US Route 127, Haviland, Ohio, 45851",49031
29520,Peebles Elementary School,Elementary School,Public School,Adams,"700 Indian Dr, Peebles, Ohio, 45660",61903
29538,Peebles High School,High School,Public School,Adams,"25719 State Route 41, Peebles, Ohio, 45660",61903
29553,Wyoming Middle School,Middle School,Public School,Hamilton,"17 Wyoming Ave, Wyoming, Ohio, 45215",45146
29561,Keystone Elementary School,Elementary School,Public School,Lorain,"501 Opportunity Way, Lagrange, Ohio, 44050",48165
29579,Campbell Elementary School,Elementary School,Public School,Mahoning,"2002 Community Cir, Campbell, Ohio, 44405",43703
29595,Pennyroyal Elementary School,Elementary School,Public School,Warren,"4203 Pennyroyal Rd, Franklin, Ohio, 45005",44008
29611,Orange Inclusive Preschool,Elementary School,Public School,Cuyahoga,"32000 Chagrin Blvd, Pepper Pike, Ohio, 44124",46581
29629,Briar Middle School,Middle School,Public School,Erie,"3700 South Ave, Sandusky, Ohio, 44870",46813
29637,Perkins High School,High School,Public School,Erie,"3714 Campbell St, Sandusky, Ohio, 44870",46813
29652,Perrin Woods Elementary School,Elementary School,Public School,Clark,"431 W John St, Springfield, Ohio, 45506",44818
29678,Perry Elementary School,Elementary School,Public School,Muskingum,"6975 East Pike, Zanesville, Ohio, 43701",48835
29686,Perry Elementary School,Elementary School,Public School,Allen,"2770 E Breese Rd, Lima, Ohio, 45806",45781
29694,Perry High School,High School,Public School,Allen,"2770 E Breese Rd, Lima, Ohio, 45806",45781
29702,Perry High School,High School,Public School,Stark,"3737 13th St SW, Massillon, Ohio, 44646",49924
29710,Perry High School,High School,Public School,Lake,"1 Success Blvd, Perry, Ohio, 44081",47902
29728,Perry Middle School,Middle School,Public School,Lake,"2 Learning Ln, Perry, Ohio, 44081",47902
29736,Perrysburg Junior High School,Junior High School,Public School,Wood,"550 E South Boundary St, Perrysburg, Ohio, 43551",45583
29744,Perrysburg High School,High School,Public School,Wood,"13385 Roachton Rd, Perrysburg, Ohio, 43551",45583
29751,Loudonville Junior High School,Junior High School,Public School,Ashland,"421 Campus Ave, Loudonville, Ohio, 44842",45468
29785,Pettisville Elementary School,Elementary School,Public School,Fulton,"232 Summit St, Pettisville, Ohio, 43553",47076
29793,Pettisville High School,High School,Public School,Fulton,"232 Summit St, Pettisville, Ohio, 43553",47076
29801,Pfeiffer Elementary School,Elementary School,Public School,Summit,"2081 9th St SW, Akron, Ohio, 44314",43489
29819,Phillips Elementary School,Elementary School,Public School,Washington,"300 Pike St, Marietta, Ohio, 45750",44321
29843,Philo High School,High School,Public School,Muskingum,"4000 Millers Ln, Duncan Falls, Ohio, 43734",48843
29850,Pickaway Elementary School,Elementary School,Public School,Pickaway,"28158 Kingston Pike, Circleville, Ohio, 43113",49080
29868,Pickerington Elementary School,Elementary School,Public School,Fairfield,"775 Long Rd, Pickerington, Ohio, 43147",46896
29876,Pickerington High School Central,High School,Public School,Fairfield,"300 Opportunity Way, Pickerington, Ohio, 43147",46896
29892,Pickett Elementary School,Elementary School,Public School,Lucas,"1415 Lawrence Ave, Toledo, Ohio, 43607",44909
29959,Pike Elementary School,Elementary School,Public School,Guernsey,"4533 Peters Creek Rd, Cambridge, Ohio, 43725",48835
29983,Zahns Middle School,Middle School,Public School,Pike,"13806 St Rte 220, Piketon, Ohio, 45661",49130
29991,Piketon Jr/Sr High School,High School,Public School,Pike,"1414 Piketon Rd, Piketon, Ohio, 45661",49130
30023,Pine  School,Elementary School,Public School,Cuyahoga,"4267 Dover Center Rd, North Olmsted, Ohio, 44070",44529
30031,Frank Elementary School,Elementary School,Public School,Wood,"401 W South Boundary St, Perrysburg, Ohio, 43551",45583
30064,North Central Elementary School,Elementary School,Public School,Williams,"400 E Baubice St, Pioneer, Ohio, 43554",50641
30098,Piqua High School,High School,Public School,Miami,"1 Indian Trl, Piqua, Ohio, 45356",44644
30106,Miami View Elementary School,Elementary School,Public School,Clark,"230 Clifton Rd, South Charleston, Ohio, 45368",46276
