Unique ID,School ID,District ID,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Enrollment-Total,Claim Date,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid
NV@SD281@GD384,SD281,GD384,,"Miller,Bob Middle School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD285@GD384,SD285,GD384,,"Smalley, James E. & A. Rae Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD286@GD384,SD286,GD384,,"Taylor, Glen Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD288@GD384,SD288,GD384,,"Twitchell, Neil Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD289@GD384,SD289,GD384,,"Vanderburg, John Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD291@GD384,SD291,GD384,,"Wallin, Shirley & Bill ES",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@SD293@GD384,SD293,GD384,,"Wolff, Elise Elementary School",CITY OF HENDERSON PARKS & REC-YOUTH ENRICHMENT SECTION,,,,,,,,,,,,8,2017,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,SY17-18,,,,,,,,,,,,,,,,,8/1/2017,0,0,0,0
NV@002-093@002,002-093,002,Clark,"100 Academy of Excellence ES, The (388)",CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,2569,0,0,,,14,,,,,,,,,NV,4975,355.357142857,2569,183.5,,SY17-18,,356,1,Primary,,,,,,,,PK-5,,,356,356,8/1/2017,14,4975,0,0
NV@002-131@002,002-131,002,Clark,Adams Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,3283,352,1530,,,14,,,,,,,,,NV,3048,217.714285714,3635,259.642857143,,SY17-18,,366,0.682835821,Primary,,,,,,,,PK-5,315,51,366,536,8/1/2017,14,2752,296,661
NV@002-231@002,002-231,002,Clark,Adcock Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,Y,,,8,2017,,,3340,366,407,,,14,,,,,,,,,NV,6185,441.785714286,3706,264.714285714,,SY17-18,,590,0.868924890,Primary,,,,,,,,PK-5,,,590,679,8/1/2017,14,5466,719,597
