Unique ID,School ID,District ID,State-Reporting,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Claim Date
NV@012-105@012,012-105,012,NV,Nye,Gabbs Elementary School (previously combined),Nye County School District,,,,,,PK-5,,Y,,N,,,1,2017,14,,,,10,,119,0,8,,,16,,,,,,,,,125,7.8125,119,7.4375,320036000189,SY16-17,,10,0.939849624,Primary,,,,,,,,16,125,0,8,1/1/2017
NV@012-602@012,012-602,012,NV,Nye,Gabbs High School,Nye County School District,,,,,,9-12,,Y,,N,,,1,2017,6,,,,3,,90,0,6,,,16,,,,,,,,,92,5.75,90,5.625,320036000190,SY16-17,,3,0.938775510,High,,,,,,,,16,92,0,6,1/1/2017
NV@012-315@012,012-315,012,NV,Nye,Gabbs Middle School,Nye County School District,,,,,,6-8,,Y,,N,,,1,2017,6,,,,2,,74,0,5,,,16,,,,,,,,,69,4.3125,74,4.625,320036000575,SY16-17,,2,0.932432432,Middle,,,,,,,,16,69,0,5,1/1/2017
NV@012-207@012,012-207,012,NV,Nye,Hafen Elementary School,Nye County School District,,,,,,PK-5,,N,,N,,,1,2017,421,,259,17,276,,1277,52,130,,,20,,,,,,,,,4204,210.2,1329,66.45,320036000543,SY16-17,,276,0.655581948,Primary,,,,,,,,20,3888,316,750,1/1/2017
NV@012-108@012,012-108,012,NV,Nye,Johnson Elementary School,Nye County School District,,,,,,PK-5,,Y,,N,,,1,2017,509,,,,509,,8274,0,556,,,20,,,,,,,,,7502,375.1,8274,413.7,320036000351,SY16-17,,509,0.937047215,Primary,,,,,,,,20,7502,0,504,1/1/2017
NV@012-102@012,012-102,012,NV,Nye,Manse Elementary School,Nye County School District,,,,,,PK-5,,Y,,N,,,1,2017,458,,,,394,,6976,0,469,,,20,,,,,,,,,7096,354.8,6976,348.8,320036000191,SY16-17,,394,0.937013073,Primary,,,,,,,,20,7096,0,477,1/1/2017
NV@012-604@012,012-604,012,NV,Nye,Pahrump Valley High School,Nye County School District,,,,,,9-12,,N,,N,,,1,2017,1190,,631,65,696,,3010,215,295,,,20,,,,,,,,,8959,447.95,3225,161.25,320036000192,SY16-17,,696,0.584873950,High,,,,,,,,20,8245,714,2616,1/1/2017
NV@012-103@012,012-103,012,NV,Nye,Round Mountain Elementary School,Nye County School District,,,,,,PK-5,,N,,N,,,1,2017,140,,18,8,26,,60,51,180,,,15,,,,,,,,,348,23.2,111,7.4,320036000193,SY16-17,,26,0.185714286,Primary,,,,,,,,15,256,92,744,1/1/2017
NV@012-605@012,012-605,012,NV,Nye,Round Mountain High School,Nye County School District,,,,,,9-12,,N,,N,,,1,2017,74,,8,3,11,,5,4,22,,,15,,,,,,,,,38,2.533333333,9,0.6,320036000363,SY16-17,,11,0.148648649,High,,,,,,,,15,23,15,160,1/1/2017
NV@012-313@012,012-313,012,NV,Nye,Round Mountain Middle School (previously Jr./Sr.High School),Nye County School District,,,,,,6-8,,N,,N,,,1,2017,53,,4,2,6,,34,11,52,,,15,,,,,,,,,75,5,45,3,320036000611,SY16-17,,6,0.113207547,Middle,,,,,,,,15,43,32,245,1/1/2017
