Provision 2 (Y/N),Claim Date,ISP,School Level-Original,Enrollment-Total,Enrollment-Free and Reduced,Enrollment-Free,Enrollment-Reduced,School Year,Claim Year,Unique ID,School ID,District ID,State-Physical,Street Address-Line 1,Street Address-Line 2,School Type-Original,Provision 1 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District Name,School Name,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,CEP (Y/N),Claim Month,Operating Days-Lunch Only
,7/1/2013,,,,,,,SY13-14,2013,NV@1557@1043,1557,1043,,,,,,,,,,391,0,0,,,20,,,,,,,,,NV,378,18.9,391,19.55,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Indian Springs High School,,,Clark,378,0,0,N,7,20
,7/1/2013,,,,,,,SY13-14,2013,NV@1451@1043,1451,1043,,,,,,,,,,1562,0,0,,,21,,,,,,,,,NV,1523,72.523809524,1562,74.380952381,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Jydstrup Elementary School,,,Clark,1523,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@3174@1043,3174,1043,,,,,,,,,,2238,0,0,,,19,,,,,,,,,NV,2538,133.578947368,2238,117.789473684,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Legacy High School,,,Clark,2538,0,0,N,7,19
,7/1/2013,,,,,,,SY13-14,2013,NV@1466@1043,1466,1043,,,,,,,,,,2112,0,0,,,21,,,,,,,,,NV,2173,103.476190476,2112,100.571428571,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Lowman Elementary School,,,Clark,2173,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1479@1043,1479,1043,,,,,,,,,,1924,0,0,,,21,,,,,,,,,NV,1889,89.952380952,1924,91.619047619,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,McDoniel Elementary School,,,Clark,1889,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1482@1043,1482,1043,,,,,,,,,,3710,0,0,,,21,,,,,,,,,NV,3385,161.190476190,3710,176.666666667,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Mendoza Elementary School,,,Clark,3385,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@3199@1043,3199,1043,,,,,,,,,,632,0,0,,,20,,,,,,,,,NV,638,33.578947368,632,31.6,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Miley Achievement Secondary,,,Clark,638,0,0,N,7,19
,7/1/2013,,,,,,,SY13-14,2013,NV@1483@1043,1483,1043,,,,,,,,,,188,0,0,,,20,,,,,,,,,NV,265,13.25,188,9.4,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,"Miller, John Elementary School",,,Clark,265,0,0,N,7,20
,7/1/2013,,,,,,,SY13-14,2013,NV@1485@1043,1485,1043,,,,,,,,,,162,43,6,,,20,,,,,,,,,NV,225,11.25,205,10.25,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Moapa Valley High School,,,Clark,172,53,37,N,7,20
,7/1/2013,,,,,,,SY13-14,2013,NV@18@1043,18,1043,,,,,,,,,,681,305,221,,,22,,,,,,,,,NV,3485,158.409090909,986,44.818181818,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Reedom Elementary School,,,Clark,2396,1089,4341,N,7,22
